epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,12829.4,0.62928,0.00848,0.00083,0.30522,0.90699,0.9996,1,0.995,0.84193,0.9996,1,0.995,0.995,0.71773,0.01203,5e-05,0.28976,0.92841,0.000820525,0.000820525,0.000820525
30,13242.4,0.63634,0.00883,0.00434,0.31547,0.90362,0.99957,1,0.995,0.85441,0.99957,1,0.995,0.995,0.7161,0.00543,5e-05,0.32078,0.92215,0.000808389,0.000808389,0.000808389
31,13697.8,0.64048,0.00921,0.01286,0.31036,0.90977,0.99224,1,0.9948,0.83659,0.99224,1,0.9948,0.9948,0.72108,0.00588,5e-05,0.30209,0.93103,0.000795954,0.000795954,0.000795954
32,14156.7,0.63497,0.00757,0.00066,0.30561,0.908,0.99363,1,0.995,0.85729,0.99363,1,0.995,0.995,0.71836,0.01308,0.00012,0.29244,0.93125,0.000783231,0.000783231,0.000783231
33,14542.3,0.63468,0.00852,0.00114,0.29829,0.91201,0.99632,1,0.995,0.8519,0.99632,1,0.995,0.995,0.69772,0.00719,0.00018,0.30691,0.92697,0.000770234,0.000770234,0.000770234
34,15001,0.63276,0.00575,0.00067,0.29784,0.90552,0.99897,1,0.995,0.8565,0.99897,1,0.995,0.995,0.70648,0.00364,0.00016,0.28881,0.92171,0.000756976,0.000756976,0.000756976
35,15464.5,0.63075,0.00582,0.00123,0.29461,0.9081,0.99968,1,0.995,0.85508,0.99968,1,0.995,0.995,0.71164,0.0045,0.00015,0.30188,0.92383,0.000743468,0.000743468,0.000743468
36,15854.3,0.62584,0.00579,0.00319,0.28682,0.90229,0.9996,1,0.995,0.8503,0.9996,1,0.995,0.995,0.67159,0.0044,0.00011,0.27038,0.9155,0.000729725,0.000729725,0.000729725
37,16273.2,0.61904,0.00513,0.00086,0.28555,0.90404,0.99969,1,0.995,0.83801,0.99969,1,0.995,0.995,0.67629,0.00327,0.00015,0.26384,0.91593,0.000715761,0.000715761,0.000715761
38,16782,0.60598,0.00515,0.00041,0.28732,0.89349,0.9997,1,0.995,0.84175,0.9997,1,0.995,0.995,0.70635,0.00624,0.0001,0.2723,0.92392,0.000701588,0.000701588,0.000701588
