Epoch,Train_MSE_Loss,Train_Box_Loss,Train_Mean_IoU,Train_Box_Hit_Rate,Train_MPE,Train_X_MAE,Train_Y_MAE,Train_PCK@5px,Train_PCK@10px,Train_Max_Error,Val_MSE_Loss,Val_Box_Loss,Val_Mean_IoU,Val_Box_Hit_Rate,Val_MPE,Val_X_MAE,Val_Y_MAE,Val_PCK@5px,Val_PCK@10px,Val_Max_Error
1,0.036370,0.000291,0.6637,91.24,18.42,14.84,8.41,5.96,22.21,64.69,0.123359,0.001059,0.4979,53.54,32.72,29.54,9.43,1.52,11.62,129.79
2,0.040607,0.000374,0.6016,82.11,20.36,13.51,12.99,1.78,10.15,60.38,0.141536,0.001147,0.4567,42.93,35.56,29.93,13.36,2.02,6.06,130.76
3,0.039711,0.000362,0.6295,84.26,18.89,15.14,8.37,5.71,22.84,81.48,0.133697,0.001131,0.4786,52.02,34.16,30.42,10.53,3.54,9.09,115.11
4,0.032605,0.000323,0.6482,88.32,17.40,13.98,8.09,7.61,23.73,48.68,0.142473,0.001125,0.4853,52.53,34.44,31.13,10.31,1.52,11.11,153.50
5,0.029332,0.000366,0.6551,86.80,16.01,13.92,5.55,7.87,31.22,65.67,0.132344,0.001119,0.5032,54.04,33.41,30.48,8.68,3.03,9.09,136.46
6,0.025573,0.000331,0.6470,84.64,15.14,12.59,6.21,9.26,31.85,46.52,0.112148,0.001029,0.4888,52.02,31.34,28.59,8.72,3.54,12.12,105.94
7,0.032006,0.000258,0.6736,91.24,16.86,13.68,7.41,8.12,26.14,80.89,0.119836,0.001025,0.5006,55.05,31.44,28.14,9.26,3.54,12.12,134.20
8,0.034330,0.000307,0.6421,85.28,18.04,13.84,9.04,5.20,20.94,59.84,0.136251,0.001040,0.4832,50.00,35.04,31.43,10.34,1.01,7.58,116.00
9,0.031201,0.000294,0.6710,89.85,17.02,13.31,8.08,6.47,25.38,67.40,0.119389,0.001021,0.5062,55.05,32.38,28.77,9.93,1.52,7.07,127.99
10,0.027846,0.000295,0.6655,90.36,16.36,11.73,9.11,5.33,23.73,66.74,0.112603,0.000950,0.5074,51.52,31.45,27.41,11.09,2.53,11.62,117.22
11,0.025384,0.000280,0.6737,89.72,14.97,12.54,5.88,10.15,33.76,49.90,0.127593,0.000993,0.5114,55.05,32.87,29.94,8.64,3.54,11.11,147.17
12,0.035711,0.000340,0.6579,88.71,17.56,14.93,6.83,8.38,27.16,64.42,0.137431,0.001098,0.4940,51.52,33.34,30.59,8.56,3.03,14.65,150.52
13,0.028759,0.000255,0.6838,92.26,16.33,12.48,8.19,7.36,25.89,57.70,0.114196,0.000941,0.5052,52.02,31.27,28.17,9.17,5.05,11.62,131.27
14,0.046374,0.000321,0.6545,90.61,20.62,16.89,8.43,5.08,17.77,71.84,0.127155,0.000918,0.5126,56.06,32.38,28.97,10.07,3.54,12.63,136.72
15,0.029503,0.000230,0.7135,95.30,16.63,14.28,6.15,7.11,25.63,56.97,0.127369,0.000901,0.5297,60.10,32.07,28.84,9.22,5.05,16.67,134.86
