Epoch,Train_MSE_Loss,Train_Box_Loss,Train_Mean_IoU,Train_Box_Hit_Rate,Train_MPE,Train_X_MAE,Train_Y_MAE,Train_PCK@5px,Train_PCK@10px,Train_Max_Error,Val_MSE_Loss,Val_Box_Loss,Val_Mean_IoU,Val_Box_Hit_Rate,Val_MPE,Val_X_MAE,Val_Y_MAE,Val_PCK@5px,Val_PCK@10px,Val_Max_Error
1,0.766214,0.025263,0.7267,98.73,10.85,8.03,5.63,16.24,48.73,39.89,1.464182,0.046198,0.5165,55.05,31.44,28.76,8.51,3.03,11.62,128.38
2,0.855149,0.028092,0.6850,95.56,13.63,9.14,8.30,7.49,29.70,37.46,1.566034,0.049298,0.4877,47.98,33.42,30.13,9.86,3.54,7.07,124.39
3,0.819784,0.026869,0.6857,96.07,13.99,9.60,8.59,8.12,33.25,45.12,1.536530,0.048296,0.4925,51.52,33.55,30.01,10.43,3.54,7.07,132.12
4,0.788945,0.025853,0.7008,97.21,14.09,9.18,8.79,7.49,29.19,41.59,1.507431,0.047398,0.4989,51.01,33.05,29.26,10.90,1.01,9.09,135.75
5,0.820151,0.026986,0.7007,96.83,12.29,9.12,6.50,12.31,39.34,46.81,1.521539,0.047855,0.4985,52.02,32.99,29.97,9.11,0.00,11.11,128.03
6,0.748746,0.024575,0.7133,97.72,12.73,9.20,7.11,10.91,39.34,42.52,1.474102,0.046398,0.5035,53.54,32.11,29.16,9.23,3.54,11.11,128.37
7,0.711594,0.023341,0.7263,97.46,12.56,10.06,5.77,12.56,40.36,47.09,1.438056,0.045061,0.5088,54.04,32.48,29.81,8.69,2.53,12.12,130.52
8,0.711847,0.023407,0.7328,97.97,11.37,9.09,5.14,17.39,50.13,39.16,1.432142,0.045091,0.5190,56.57,31.66,29.04,8.15,3.03,10.61,129.46
9,0.772131,0.025340,0.6974,95.43,12.80,9.62,6.53,12.69,40.36,44.68,1.446082,0.045654,0.5041,55.56,31.06,28.08,8.94,1.52,10.10,138.07
10,0.817839,0.026893,0.7075,97.84,12.30,9.33,6.22,14.59,42.39,38.97,1.501804,0.047397,0.5102,55.05,31.68,28.80,8.86,2.02,9.09,134.21
11,0.711262,0.023291,0.7137,97.72,13.35,10.04,7.07,10.03,36.55,42.51,1.445202,0.045425,0.5009,52.53,32.10,29.24,9.43,2.53,11.11,139.71
12,0.737881,0.024258,0.7313,98.98,12.08,8.83,6.54,11.93,40.48,37.13,1.441308,0.045424,0.5204,55.05,31.60,28.68,9.10,3.03,12.12,128.17
13,0.820191,0.026958,0.6920,97.46,13.04,8.72,8.10,10.15,34.14,39.07,1.520110,0.047964,0.4966,52.53,32.31,28.86,9.92,1.01,9.60,126.57
14,0.836793,0.027483,0.6839,93.40,13.35,10.56,6.33,9.77,34.52,50.90,1.517400,0.047756,0.4971,53.03,32.76,29.82,8.80,1.01,12.12,119.80
15,0.766755,0.025176,0.7181,97.46,12.73,9.92,6.13,11.93,38.58,42.48,1.487283,0.046777,0.5075,52.02,32.54,29.66,9.05,2.53,10.61,130.90
16,0.759640,0.024975,0.7101,97.59,12.15,9.38,5.91,12.18,41.62,35.20,1.493066,0.047013,0.5034,52.53,32.40,29.73,8.56,2.02,10.61,127.82
17,0.765769,0.025135,0.7176,98.48,13.23,8.46,8.59,8.38,33.38,37.17,1.491609,0.046934,0.5075,55.05,32.73,29.38,10.11,2.02,9.09,127.87
18,0.768178,0.025220,0.7195,97.72,12.89,10.00,6.30,10.79,39.09,43.29,1.481906,0.046454,0.5168,57.58,33.47,30.80,8.53,2.02,10.10,132.62
19,0.754779,0.024817,0.6932,94.67,12.16,8.37,7.08,10.79,42.39,39.81,1.444020,0.045541,0.5037,48.99,31.47,28.40,9.14,2.02,9.60,126.04
20,0.832665,0.027412,0.7010,97.72,12.26,8.59,7.20,10.91,39.09,38.46,1.535324,0.048525,0.5001,53.03,31.81,28.79,9.42,1.52,9.09,127.93
21,0.705448,0.023118,0.7240,97.08,12.63,10.03,5.71,11.93,42.51,52.01,1.394347,0.043969,0.5168,55.56,30.87,28.17,9.05,1.52,8.59,138.98
22,0.707768,0.023252,0.7239,98.48,12.15,8.58,6.81,10.91,39.34,38.26,1.436168,0.045221,0.5116,54.04,31.91,28.92,9.28,3.03,10.10,134.67
