Epoch,Train_MSE_Loss,Train_Box_Loss,Train_Mean_IoU,Train_Box_Hit_Rate,Train_MPE,Train_X_MAE,Train_Y_MAE,Train_PCK@5px,Train_PCK@10px,Train_Max_Error,Val_MSE_Loss,Val_Box_Loss,Val_Mean_IoU,Val_Box_Hit_Rate,Val_MPE,Val_X_MAE,Val_Y_MAE,Val_PCK@5px,Val_PCK@10px,Val_Max_Error
1,0.146534,0.012889,0.7033,96.45,13.53,9.20,8.09,8.25,31.60,36.19,0.355079,0.023599,0.5015,49.49,32.84,29.49,9.96,2.02,8.59,128.47
2,0.178627,0.014685,0.6511,87.18,18.04,15.45,7.09,4.82,18.91,51.10,0.366658,0.024504,0.4892,48.99,32.60,29.72,9.25,3.54,10.61,145.67
3,0.134333,0.011856,0.7313,97.34,12.37,10.46,4.87,14.85,41.24,43.57,0.350691,0.022737,0.5208,56.06,32.81,30.44,7.87,1.52,11.62,136.55
4,0.153360,0.013705,0.6991,96.57,12.83,9.22,7.27,8.88,37.82,35.51,0.358206,0.024048,0.5096,57.07,32.87,29.64,9.54,0.00,9.09,131.21
5,0.150353,0.013398,0.7124,98.60,12.87,9.47,6.93,11.29,36.55,37.68,0.362029,0.023984,0.5129,51.01,33.09,29.89,9.49,1.52,10.61,134.75
6,0.157914,0.014237,0.6781,94.80,12.69,8.73,7.48,7.61,36.04,37.86,0.360611,0.024415,0.4989,53.54,32.42,29.17,9.47,1.01,10.10,126.25
7,0.138568,0.012344,0.7111,96.95,12.35,8.59,7.20,11.04,39.34,36.41,0.348474,0.023420,0.5040,52.53,31.98,28.76,9.62,2.53,7.07,136.21
8,0.150682,0.013482,0.7051,96.83,12.50,9.81,5.91,13.45,39.21,47.52,0.365325,0.024553,0.5029,50.00,32.75,29.78,9.02,1.52,9.09,132.56
9,0.159444,0.014128,0.6815,94.54,13.68,9.29,8.26,8.50,31.09,40.86,0.370796,0.024958,0.4929,50.00,33.10,29.61,10.21,1.52,9.09,137.64
10,0.153403,0.013641,0.7058,98.10,13.22,9.43,7.36,9.77,34.14,36.59,0.366788,0.024404,0.5056,54.04,33.39,30.04,9.91,1.52,10.10,129.06
11,0.153688,0.013893,0.7029,97.34,12.11,8.97,6.48,13.45,40.10,40.68,0.365065,0.024905,0.4999,53.54,31.91,29.11,9.13,2.53,11.62,132.51
12,0.161738,0.014226,0.6961,96.95,14.21,9.91,8.39,7.74,28.55,40.87,0.368721,0.025099,0.4983,52.53,32.57,29.28,9.95,1.01,7.58,135.21
13,0.138843,0.012061,0.7075,97.84,13.56,9.13,8.32,9.64,32.87,41.48,0.359756,0.023354,0.5038,52.02,33.48,29.87,10.58,2.02,8.08,138.35
14,0.154329,0.013965,0.6993,96.95,12.16,8.72,6.70,11.42,40.74,35.24,0.359650,0.024561,0.5070,54.55,31.65,28.56,9.48,3.03,9.60,134.78
15,0.156376,0.013544,0.6883,93.15,14.57,10.31,8.18,10.41,30.46,39.82,0.372047,0.024179,0.4974,52.02,34.37,30.90,10.15,1.52,8.59,128.04
16,0.131625,0.011395,0.7280,97.46,13.21,10.49,5.89,10.91,38.07,38.50,0.358372,0.022746,0.5083,55.56,34.00,31.30,9.00,2.53,13.13,123.69
17,0.146645,0.012718,0.7057,97.21,13.99,10.30,7.68,9.01,31.47,47.66,0.368347,0.024207,0.4984,53.03,33.66,30.59,9.71,2.02,7.58,136.82
18,0.148796,0.012922,0.7018,97.08,14.23,9.90,8.54,7.61,28.43,42.73,0.358916,0.023641,0.5064,55.56,33.37,29.89,10.31,2.53,8.08,132.37
19,0.156715,0.013719,0.6849,95.94,14.33,9.19,9.26,6.85,28.55,37.10,0.371369,0.024702,0.4920,50.00,33.79,29.88,10.86,2.02,7.07,126.18
