Epoch,Train_MSE_Loss,Train_Box_Loss,Train_Mean_IoU,Train_Box_Hit_Rate,Train_MPE,Train_X_MAE,Train_Y_MAE,Train_PCK@5px,Train_PCK@10px,Train_Max_Error,Val_MSE_Loss,Val_Box_Loss,Val_Mean_IoU,Val_Box_Hit_Rate,Val_MPE,Val_X_MAE,Val_Y_MAE,Val_PCK@5px,Val_PCK@10px,Val_Max_Error
1,0.716491,0.035333,0.3471,26.65,55.29,49.31,17.05,1.02,4.57,326.66,0.889579,0.041009,0.3079,22.73,62.35,56.26,16.76,1.01,3.54,296.80
2,0.701375,0.037534,0.3321,23.73,53.60,47.02,17.77,1.27,3.81,302.92,0.857528,0.043469,0.3015,19.70,59.95,53.58,18.18,2.02,3.03,285.74
3,0.659843,0.034479,0.3505,26.40,52.81,46.16,17.80,1.27,4.82,305.53,0.844119,0.041153,0.3077,24.24,60.89,54.31,18.42,1.01,4.04,281.46
4,0.587673,0.033348,0.3637,27.66,48.00,42.00,16.21,1.52,4.70,260.88,0.761177,0.039855,0.3175,23.74,56.49,50.36,17.17,1.01,1.52,255.05
5,0.573343,0.032402,0.3640,27.66,47.79,41.39,16.79,1.27,4.31,255.10,0.737770,0.038822,0.3186,23.74,55.52,49.05,17.56,0.51,3.54,232.51
6,0.564821,0.032061,0.3664,27.79,47.36,41.12,16.81,1.52,5.20,240.08,0.748146,0.039036,0.3112,20.71,56.12,49.82,17.32,1.52,3.54,232.79
7,0.526028,0.029991,0.3907,33.12,45.36,39.33,16.06,1.40,5.71,221.32,0.710005,0.036881,0.3326,24.24,54.52,48.08,16.94,1.52,3.03,219.12
8,0.533399,0.031132,0.3774,29.95,45.30,38.56,17.19,1.14,4.44,229.95,0.724655,0.038134,0.3173,19.70,55.52,48.77,18.00,1.52,4.04,209.35
9,0.488352,0.028797,0.3973,32.49,43.13,37.15,15.55,0.76,4.70,209.81,0.652563,0.035505,0.3421,26.26,51.43,45.25,16.31,1.52,4.55,193.92
10,0.489384,0.030257,0.3908,31.47,41.56,35.61,15.34,1.02,5.33,204.84,0.671942,0.037608,0.3314,23.23,51.36,45.05,16.89,1.52,5.05,189.50
11,0.493138,0.029581,0.3954,33.63,42.17,36.81,14.36,2.66,6.35,220.76,0.702120,0.037342,0.3337,24.75,53.01,47.04,15.97,2.53,5.56,198.95
12,0.478647,0.028738,0.4055,33.76,42.14,36.15,15.47,1.90,5.84,179.52,0.685480,0.036868,0.3311,23.23,53.71,47.83,16.97,0.00,2.53,200.37
13,0.454664,0.027901,0.4164,37.18,40.18,34.64,14.63,1.40,5.33,202.24,0.666156,0.035652,0.3405,26.26,51.92,45.78,16.15,1.52,4.04,193.00
14,0.441031,0.026620,0.4214,37.18,40.26,34.94,13.87,1.14,6.09,159.63,0.632072,0.034606,0.3370,23.74,51.21,45.71,15.47,0.51,2.53,206.45
