136,0.024381,0.001716,0.4498,46.07,41.51,37.45,12.11,4.19,10.41,249.77,0.016661,0.001294,0.4457,43.43,36.56,33.95,9.13,2.02,13.13,125.84
137,0.022663,0.001523,0.4458,43.78,42.18,36.64,14.73,1.78,6.73,237.37,0.016509,0.001262,0.4519,43.94,36.49,32.74,11.04,4.04,9.09,138.71
138,0.026426,0.001771,0.4322,42.39,44.55,40.04,13.56,2.16,7.87,255.64,0.017943,0.001351,0.4480,46.46,38.08,35.55,8.94,1.52,8.08,156.85
139,0.025245,0.001745,0.4418,43.02,42.54,38.17,12.85,1.40,7.61,257.91,0.015393,0.001225,0.4663,51.01,35.09,31.95,10.08,3.54,9.60,138.81
140,0.026129,0.001809,0.4355,42.77,43.68,38.90,13.83,1.52,8.76,274.57,0.016831,0.001330,0.4547,48.48,36.70,33.59,10.03,2.02,8.08,152.47
141,0.025150,0.001786,0.4359,42.64,43.45,39.02,13.25,2.54,6.60,263.68,0.017856,0.001428,0.4357,40.40,38.03,34.51,11.03,2.02,11.62,143.19
142,0.025841,0.001729,0.4383,43.40,43.48,37.73,14.84,1.40,7.74,249.42,0.016566,0.001344,0.4464,43.43,36.46,32.69,11.41,0.51,6.57,146.15
143,0.029341,0.001907,0.4227,41.12,46.66,42.14,13.00,2.79,8.25,362.75,0.020166,0.001573,0.4400,45.45,40.11,37.37,9.72,1.52,7.07,170.10
144,0.028325,0.001900,0.4347,41.50,44.85,39.73,13.88,2.03,7.11,263.02,0.015932,0.001329,0.4567,46.97,35.51,31.97,10.83,3.03,10.61,141.88
145,0.023946,0.001658,0.4474,44.16,42.28,38.28,12.14,3.05,9.77,203.00,0.016142,0.001308,0.4656,50.00,35.69,33.11,9.12,1.52,9.60,149.31
146,0.028218,0.001904,0.4175,38.45,45.88,41.78,12.68,2.79,7.99,318.28,0.018421,0.001443,0.4408,42.42,38.35,35.25,10.29,4.04,9.60,164.75
