Epoch,Train_MSE_Loss,Train_Box_Loss,Train_Mean_IoU,Train_Box_Hit_Rate,Train_MPE,Train_X_MAE,Train_Y_MAE,Train_PCK@5px,Train_PCK@10px,Train_Max_Error,Val_MSE_Loss,Val_Box_Loss,Val_Mean_IoU,Val_Box_Hit_Rate,Val_MPE,Val_X_MAE,Val_Y_MAE,Val_PCK@5px,Val_PCK@10px,Val_Max_Error
1,6.162622,0.059595,0.7178,97.97,14.81,12.96,5.03,9.52,33.50,45.56,11.487676,0.106130,0.5370,61.62,28.14,25.68,7.95,4.55,15.66,141.99
2,6.783556,0.066641,0.7046,97.72,12.96,9.55,7.02,9.77,35.28,39.20,12.407965,0.115319,0.5197,58.08,29.18,26.14,8.66,4.55,14.65,126.49
3,6.909426,0.067533,0.6925,97.34,14.84,10.97,8.11,6.22,27.79,44.36,12.456261,0.115366,0.5124,55.05,30.00,26.53,9.97,4.04,14.14,129.96
4,6.063448,0.059344,0.7253,98.73,13.40,10.02,7.10,9.01,36.04,39.61,12.008308,0.110791,0.5229,60.10,29.86,26.77,9.23,3.54,15.15,133.35
5,6.426993,0.062904,0.7125,97.21,12.70,10.34,5.53,13.32,40.74,38.81,12.234328,0.112790,0.5188,58.59,30.36,27.76,8.21,5.05,13.13,122.63
6,6.034989,0.059240,0.7201,98.48,12.61,9.10,7.00,10.91,38.58,44.74,11.831975,0.109482,0.5254,59.09,29.37,26.30,8.74,4.55,12.12,128.81
7,6.334319,0.062137,0.7195,98.22,13.37,9.55,7.41,9.26,30.71,35.53,12.156293,0.112367,0.5257,58.08,30.12,26.81,9.52,3.03,14.14,135.58
8,5.708708,0.056079,0.7307,97.59,11.10,8.89,4.99,15.86,48.22,34.36,11.612827,0.107239,0.5292,59.60,29.04,26.41,8.12,6.06,14.65,129.52
9,5.844694,0.057321,0.7316,98.98,12.11,9.14,6.21,12.06,43.02,34.21,11.504440,0.106234,0.5371,61.11,28.67,25.97,8.30,5.56,13.13,140.85
10,6.408014,0.062989,0.7163,98.22,12.00,9.10,6.06,11.55,43.02,41.32,12.025485,0.111479,0.5267,57.07,29.11,26.22,8.42,3.03,13.13,130.07
11,6.258348,0.061040,0.6964,97.21,14.41,11.02,7.27,7.61,31.09,41.47,11.884790,0.109805,0.5171,56.57,29.28,26.21,8.93,3.03,13.64,134.42
12,6.496117,0.063524,0.6946,96.57,13.67,10.62,6.70,8.50,33.38,43.96,11.703671,0.108976,0.5302,62.12,27.55,24.62,8.73,4.55,14.65,139.97
13,5.827895,0.057286,0.7371,98.86,12.41,8.61,7.39,8.76,35.91,40.77,11.707480,0.108516,0.5360,62.12,29.00,25.98,8.74,3.54,12.12,128.66
14,7.038261,0.068809,0.6846,94.92,14.83,10.68,8.33,6.98,29.31,42.30,12.452797,0.114928,0.5151,56.06,30.19,26.89,9.65,4.55,12.63,146.40
15,5.404102,0.053006,0.7440,98.73,12.18,8.89,6.62,10.53,38.32,42.28,11.372176,0.104746,0.5349,61.11,29.58,26.64,8.78,2.53,9.09,129.92
16,6.321904,0.061887,0.7154,98.86,13.26,10.20,6.59,10.15,36.29,39.69,12.197961,0.112135,0.5137,59.09,30.75,27.92,8.88,5.56,13.13,120.89
17,6.060884,0.059616,0.7398,98.86,11.22,8.62,5.55,18.02,48.22,34.09,11.717116,0.108322,0.5455,64.14,28.80,26.15,8.27,5.56,14.65,138.57
18,5.427584,0.053305,0.7509,98.86,11.00,8.68,5.15,15.74,51.02,34.77,11.399708,0.105026,0.5359,59.60,28.79,26.36,7.77,5.05,15.66,133.30
19,6.355651,0.062295,0.7105,97.59,12.03,9.82,5.30,15.36,45.69,41.71,11.871905,0.109460,0.5289,61.62,29.32,26.90,8.04,4.55,15.66,131.13
20,5.653806,0.055703,0.7507,99.11,10.19,7.98,4.86,18.27,54.95,36.39,11.520355,0.106827,0.5405,59.60,28.07,25.67,7.79,3.54,14.14,135.83
21,5.756242,0.056411,0.7403,98.98,12.51,9.31,6.57,11.80,40.10,36.07,11.648043,0.107862,0.5325,59.60,28.80,25.95,8.74,6.57,12.63,134.61
22,6.041701,0.059234,0.7235,98.60,13.32,9.45,7.65,9.52,34.77,39.20,11.966509,0.110305,0.5227,59.60,30.54,27.10,9.55,3.54,12.12,119.65
23,6.906334,0.067857,0.6950,97.46,13.86,9.29,8.68,6.98,32.74,39.88,12.451188,0.115909,0.5124,60.10,28.86,25.29,9.91,3.03,12.12,145.28
