Epoch,Train_MSE_Loss,Train_Box_Loss,Train_Mean_IoU,Train_Box_Hit_Rate,Train_MPE,Train_X_MAE,Train_Y_MAE,Train_PCK@5px,Train_PCK@10px,Train_Max_Error,Val_MSE_Loss,Val_Box_Loss,Val_Mean_IoU,Val_Box_Hit_Rate,Val_MPE,Val_X_MAE,Val_Y_MAE,Val_PCK@5px,Val_PCK@10px,Val_Max_Error
1,0.311838,0.014643,0.6715,92.51,13.54,10.50,6.61,11.68,37.82,46.17,0.608421,0.024580,0.5013,53.03,31.64,28.62,9.13,2.02,10.61,143.73
2,0.319579,0.014820,0.6622,90.86,15.01,11.53,7.49,9.01,30.84,47.47,0.626930,0.025453,0.4852,50.51,31.98,28.82,9.52,1.52,8.08,146.02
3,0.305121,0.014240,0.6814,93.02,14.42,9.94,8.55,6.98,30.46,47.96,0.616074,0.024870,0.4927,50.51,32.19,28.77,10.15,2.53,11.11,144.70
4,0.298649,0.013976,0.6666,91.62,13.91,9.34,8.47,8.38,31.60,46.24,0.608451,0.024387,0.4855,48.48,32.34,28.60,10.31,5.05,11.11,142.77
5,0.325563,0.015036,0.6654,89.97,15.67,13.08,6.33,7.87,28.43,51.11,0.619080,0.024545,0.5016,51.01,33.94,31.14,8.76,1.52,7.58,133.55
6,0.272547,0.012674,0.7018,95.43,13.77,10.34,6.91,9.90,32.61,40.62,0.580038,0.023188,0.5118,53.03,32.19,28.90,9.56,1.52,10.10,136.38
7,0.291083,0.013504,0.6756,92.01,14.18,11.95,5.78,11.17,37.06,49.36,0.596713,0.023678,0.4982,51.52,32.50,29.91,8.68,2.02,11.11,146.99
8,0.259856,0.012154,0.7118,96.45,12.72,9.93,5.99,12.18,40.74,47.67,0.575142,0.022852,0.5143,54.55,31.71,28.89,8.79,3.54,13.13,138.55
9,0.301144,0.013987,0.6786,93.53,14.75,10.35,8.54,7.61,28.55,45.85,0.617533,0.024536,0.4935,48.99,33.51,30.01,10.24,2.02,10.61,131.76
10,0.278292,0.012952,0.7084,96.07,13.69,11.29,5.82,10.79,35.91,45.67,0.585430,0.023261,0.5179,54.55,32.24,29.66,8.50,2.53,10.10,146.36
11,0.270444,0.012666,0.7054,96.19,13.34,8.78,8.28,8.76,32.87,39.67,0.574292,0.023070,0.5120,56.06,31.71,28.10,10.18,3.03,12.12,129.57
12,0.313545,0.014703,0.6714,94.80,13.93,9.75,8.17,11.04,32.87,45.98,0.615039,0.025003,0.4902,52.02,31.75,28.19,10.26,3.03,13.13,135.11
13,0.298890,0.014065,0.6915,96.07,13.06,10.28,6.26,12.31,38.07,47.67,0.618067,0.024563,0.5023,53.03,32.88,29.87,9.34,5.56,15.15,138.93
