Epoch,Train_MSE_Loss,Train_Box_Loss,Train_Mean_IoU,Train_Box_Hit_Rate,Train_MPE,Train_X_MAE,Train_Y_MAE,Train_PCK@5px,Train_PCK@10px,Train_Max_Error,Val_MSE_Loss,Val_Box_Loss,Val_Mean_IoU,Val_Box_Hit_Rate,Val_MPE,Val_X_MAE,Val_Y_MAE,Val_PCK@5px,Val_PCK@10px,Val_Max_Error
1,59.062293,0.117870,0.7278,97.97,12.57,9.84,6.01,12.82,40.48,38.97,107.471218,0.213272,0.5414,64.14,27.73,24.94,8.32,5.56,14.65,139.17
2,61.198522,0.122177,0.7183,98.10,13.38,9.09,8.21,6.73,30.58,41.01,112.180049,0.222542,0.5225,58.08,30.09,26.58,9.81,4.04,13.64,127.99
3,62.843378,0.125450,0.7172,98.48,13.41,9.28,8.06,7.87,34.77,38.93,113.206188,0.224597,0.5202,55.05,29.82,26.41,9.63,4.55,14.14,134.75
4,63.151795,0.126088,0.7262,99.24,12.35,8.93,6.82,10.15,39.72,36.89,113.005874,0.224245,0.5280,57.07,29.15,26.18,8.68,3.03,13.13,138.23
5,63.229422,0.126224,0.7083,98.60,13.92,8.86,8.89,7.36,30.33,45.98,113.245012,0.224823,0.5189,59.60,28.77,24.88,10.34,3.03,15.15,136.14
6,59.511963,0.118851,0.7395,99.24,10.94,8.30,5.66,12.56,48.10,38.08,111.420954,0.221083,0.5307,61.11,28.79,26.27,7.78,4.55,14.65,130.54
7,58.773604,0.117216,0.7187,97.97,13.74,11.34,5.91,12.82,39.47,48.32,109.026639,0.216080,0.5257,61.11,29.70,27.21,8.27,3.54,15.66,143.89
8,62.967826,0.125698,0.7026,95.94,12.87,9.31,7.21,11.55,38.20,41.39,112.110942,0.222491,0.5216,61.11,28.65,25.58,8.88,3.54,15.15,137.93
9,69.599549,0.138740,0.6655,92.39,16.64,13.84,7.15,6.22,24.24,48.92,113.633735,0.225381,0.5113,57.07,29.15,26.43,8.73,5.05,16.16,150.49
10,66.666317,0.133077,0.6822,97.08,14.80,9.64,9.67,5.58,27.54,39.76,118.398851,0.234863,0.4925,55.05,31.42,27.34,10.92,4.04,14.14,131.31
11,55.277742,0.110373,0.7496,99.62,10.60,8.54,4.73,14.72,52.16,38.50,106.948212,0.212090,0.5363,60.61,29.13,26.61,8.22,4.55,16.67,121.37
12,62.266582,0.124269,0.7146,98.48,13.12,9.77,6.88,10.28,38.45,42.68,113.253416,0.224626,0.5183,58.08,29.67,26.78,9.00,3.54,13.13,144.17
13,65.041085,0.129887,0.6981,97.21,12.51,8.54,7.54,9.39,33.76,48.62,115.198813,0.228685,0.5079,58.59,29.15,25.90,9.21,4.55,9.60,123.13
14,68.588923,0.136962,0.6921,97.72,13.52,8.75,8.60,8.63,30.08,36.74,118.279976,0.234829,0.5084,54.04,29.93,25.89,10.33,3.03,8.59,121.39
15,57.560788,0.114914,0.7270,98.86,12.32,8.78,6.95,10.91,36.80,37.81,107.927312,0.214181,0.5314,60.10,28.43,25.25,9.07,4.55,11.62,137.58
