Epoch,Train_MSE_Loss,Train_Box_Loss,Train_Mean_IoU,Train_Box_Hit_Rate,Train_MPE,Train_X_MAE,Train_Y_MAE,Train_PCK@5px,Train_PCK@10px,Train_Max_Error,Val_MSE_Loss,Val_Box_Loss,Val_Mean_IoU,Val_Box_Hit_Rate,Val_MPE,Val_X_MAE,Val_Y_MAE,Val_PCK@5px,Val_PCK@10px,Val_Max_Error
1,1.599005,0.039301,0.5557,65.99,21.08,15.85,10.63,4.57,16.62,73.03,2.436632,0.058408,0.4157,35.35,39.23,34.28,13.08,2.53,5.56,132.07
2,1.518513,0.037340,0.5579,64.72,20.22,15.20,10.11,6.35,17.64,66.17,2.360618,0.056639,0.4152,36.36,37.53,32.82,12.48,3.54,9.09,136.48
3,1.397907,0.034358,0.5954,74.49,19.58,15.06,9.48,6.09,18.65,63.21,2.283202,0.054588,0.4290,38.89,38.40,33.89,12.47,2.02,7.07,139.87
4,1.558349,0.038140,0.5688,68.15,23.13,17.82,11.09,2.92,13.96,77.49,2.365040,0.056402,0.4288,40.91,40.16,35.40,13.69,1.52,5.05,146.58
5,1.399446,0.034221,0.5952,76.14,22.36,17.59,10.48,4.06,16.62,69.80,2.314930,0.055165,0.4289,42.42,40.68,36.52,12.63,1.01,6.06,123.62
6,1.519026,0.037248,0.5887,75.63,21.69,17.04,9.98,3.81,16.24,95.91,2.330675,0.055897,0.4344,40.40,36.91,32.43,12.45,1.52,10.61,126.12
7,1.442683,0.035440,0.5893,74.75,19.70,15.55,9.12,5.71,23.98,79.92,2.279461,0.054764,0.4315,40.91,36.24,31.95,11.61,2.53,6.57,123.57
8,1.428317,0.035112,0.5978,76.78,19.39,15.46,8.68,5.20,21.70,82.39,2.296787,0.055318,0.4350,39.90,35.42,31.55,11.31,3.54,10.61,127.06
9,1.401791,0.034490,0.6045,78.05,18.92,14.38,9.66,6.85,22.21,68.34,2.298290,0.055181,0.4313,41.41,36.44,31.89,12.34,1.52,8.08,124.72
10,1.333231,0.032759,0.6228,81.98,19.25,14.52,9.69,5.46,19.29,60.16,2.187219,0.052511,0.4559,42.93,35.90,31.14,12.82,1.52,9.60,115.36
11,1.424770,0.035160,0.6038,78.43,17.36,12.92,9.02,6.85,25.00,55.35,2.262216,0.054229,0.4375,40.91,37.22,33.03,11.67,3.54,9.60,116.38
12,1.396564,0.034431,0.6200,83.25,17.66,13.41,8.78,6.22,23.22,61.90,2.213715,0.053174,0.4621,44.44,34.93,30.94,10.95,2.02,13.64,136.89
13,1.279331,0.031513,0.6316,83.88,17.17,13.53,7.92,6.73,27.03,72.63,2.169518,0.052029,0.4579,46.46,35.40,31.52,10.92,3.03,11.11,130.19
14,1.270775,0.031386,0.6233,82.99,15.92,12.08,8.10,8.12,26.65,62.85,2.086556,0.049996,0.4691,47.98,35.43,31.64,10.79,1.52,9.60,128.75
