Epoch,Train_MSE_Loss,Train_Box_Loss,Train_Mean_IoU,Train_Box_Hit_Rate,Train_MPE,Train_X_MAE,Train_Y_MAE,Train_PCK@5px,Train_PCK@10px,Train_Max_Error,Val_MSE_Loss,Val_Box_Loss,Val_Mean_IoU,Val_Box_Hit_Rate,Val_MPE,Val_X_MAE,Val_Y_MAE,Val_PCK@5px,Val_PCK@10px,Val_Max_Error
1,0.311655,0.000309,0.6523,87.44,18.83,16.37,7.02,4.57,19.29,64.44,1.107410,0.001000,0.4979,48.99,32.86,30.06,9.12,2.53,10.61,107.64
2,0.173485,0.000283,0.6793,95.18,14.25,11.61,6.31,11.29,32.61,49.38,1.021971,0.001078,0.4956,49.49,31.38,28.40,9.06,4.55,14.14,126.31
3,0.183176,0.000276,0.6681,91.12,15.00,11.49,7.54,10.28,33.25,50.40,1.080177,0.001136,0.4821,50.00,31.97,28.61,9.55,3.03,11.11,133.95
4,0.190792,0.000253,0.6950,96.32,14.64,12.05,6.17,10.15,32.61,63.52,1.047836,0.001006,0.5134,57.07,31.13,28.45,8.44,5.56,12.63,126.06
5,0.141706,0.000204,0.7217,96.70,13.00,10.13,6.17,11.04,38.83,63.12,0.954095,0.000928,0.5315,56.57,30.41,27.53,8.67,3.54,11.11,129.82
6,0.149793,0.000260,0.6890,94.80,14.45,10.51,7.97,9.52,30.33,45.13,0.999148,0.001006,0.5109,55.56,31.54,28.02,9.99,3.54,12.12,119.19
7,0.215711,0.000261,0.6886,95.43,15.58,12.58,6.92,11.29,31.98,60.58,0.936549,0.000992,0.5174,56.57,30.06,26.46,9.63,4.55,15.15,121.76
8,0.137174,0.000241,0.6913,95.94,13.65,9.80,7.64,9.77,34.77,46.60,0.949596,0.000927,0.5200,55.05,30.62,27.17,9.63,1.52,9.60,117.60
9,0.182659,0.000202,0.7226,97.21,14.11,11.88,5.35,11.42,35.66,50.44,0.904791,0.000891,0.5346,59.09,29.81,26.98,8.53,2.02,9.09,108.15
10,0.152126,0.000265,0.6745,94.80,14.49,10.29,8.22,8.25,30.33,56.22,0.880906,0.000977,0.5016,53.54,30.02,26.42,10.05,3.03,8.08,108.40
11,0.131244,0.000260,0.6744,93.91,13.45,9.93,7.23,8.25,31.73,43.96,0.947524,0.000984,0.5054,53.03,30.28,27.02,9.14,2.53,12.12,120.84
12,0.157663,0.000275,0.6834,94.42,13.71,10.78,6.44,9.14,35.41,56.53,0.929522,0.000964,0.5132,58.59,29.68,26.59,8.67,3.54,12.63,119.56
13,0.128541,0.000214,0.7213,97.59,12.82,9.88,6.25,10.53,37.06,44.53,0.940228,0.000883,0.5316,62.12,30.04,27.15,8.85,4.55,13.64,120.69
14,0.167420,0.000205,0.7110,96.57,14.28,11.40,6.48,9.64,31.85,46.48,0.955388,0.000958,0.5127,57.07,30.58,27.62,8.79,4.55,13.13,106.20
15,0.190689,0.000234,0.7056,96.45,15.08,12.18,6.74,8.88,30.96,45.05,0.995173,0.000981,0.5162,55.56,30.82,27.72,9.10,4.55,11.62,127.44
16,0.160743,0.000226,0.6978,97.46,13.99,10.95,6.61,10.03,35.03,49.57,0.921104,0.000937,0.5098,56.06,30.26,27.13,9.05,4.55,11.11,113.51
17,0.138000,0.000250,0.6766,94.92,14.40,9.95,8.66,7.11,27.03,40.24,0.950039,0.000996,0.4966,54.55,30.95,27.22,10.29,2.53,9.09,118.13
18,0.210373,0.000282,0.6720,93.15,15.64,12.49,7.23,8.12,31.09,48.50,0.973373,0.000938,0.5141,57.07,30.39,26.97,9.68,2.53,12.12,132.31
19,0.192498,0.000233,0.6889,93.65,14.93,12.43,6.14,9.26,32.23,51.02,0.893000,0.000899,0.5232,55.56,30.14,27.25,8.85,2.02,10.61,112.26
20,0.141088,0.000204,0.7154,95.43,12.82,10.52,5.46,12.06,39.85,47.35,0.874358,0.000859,0.5331,62.63,29.14,26.34,8.51,5.05,11.62,131.31
21,0.148224,0.000199,0.7269,98.22,13.52,10.58,6.38,7.74,35.41,44.54,0.795779,0.000893,0.5394,62.12,27.31,24.44,8.40,4.55,15.66,136.84
22,0.126189,0.000246,0.6874,94.67,13.70,9.27,8.23,7.49,32.99,39.21,0.799724,0.000942,0.5194,55.56,28.19,24.53,9.61,3.54,11.62,125.69
23,0.148832,0.000209,0.7075,95.56,14.03,10.58,7.27,7.99,32.99,41.57,0.998153,0.000923,0.5145,57.58,31.61,28.46,9.29,4.04,9.09,122.58
24,0.155329,0.000215,0.7059,96.57,13.26,10.26,6.43,12.44,41.37,54.52,1.010086,0.000926,0.5224,56.57,30.74,27.82,8.54,3.03,11.11,117.09
25,0.262212,0.000264,0.6847,92.64,16.92,14.54,6.20,7.87,26.52,63.44,1.204307,0.001011,0.5070,53.54,34.21,31.42,8.44,2.02,5.56,119.39
26,0.162968,0.000210,0.7032,96.32,14.50,10.99,7.42,9.52,32.36,43.41,1.007228,0.000965,0.5040,52.02,30.85,27.75,9.10,6.06,14.14,122.81
27,0.162797,0.000210,0.7060,97.34,15.07,11.00,8.42,7.36,27.03,47.90,0.935148,0.000954,0.5071,55.05,30.43,26.97,9.70,3.03,11.62,117.36
28,0.200627,0.000253,0.6877,95.56,15.20,12.21,6.76,9.77,32.61,52.67,0.845535,0.000962,0.5232,57.07,28.44,25.43,8.85,3.54,13.13,128.06
29,0.144366,0.000190,0.7152,96.95,14.82,10.35,8.61,6.85,26.27,39.41,0.994242,0.000838,0.5267,60.10,31.33,27.60,10.14,2.53,8.08,133.94
30,0.206289,0.000232,0.6979,95.69,15.57,12.43,7.31,8.38,30.08,51.08,1.015529,0.000969,0.5043,53.03,30.80,27.77,9.23,2.53,14.65,121.43
31,0.215124,0.000245,0.6757,93.78,15.61,13.26,5.97,7.49,30.46,49.66,0.952015,0.000971,0.5048,54.04,29.36,26.61,8.28,4.04,12.12,124.56
32,0.148789,0.000209,0.7190,97.59,13.62,10.65,6.45,11.17,34.90,47.66,0.971610,0.000977,0.5138,58.08,30.31,27.19,8.96,4.04,15.15,121.15
33,0.188396,0.000228,0.6977,94.80,15.21,12.11,7.03,7.11,29.44,50.27,1.053635,0.000930,0.5120,55.56,31.77,28.49,9.08,4.04,11.62,114.12
34,0.111141,0.000182,0.7273,97.72,11.55,9.20,5.28,14.72,46.19,39.66,0.844091,0.000895,0.5184,58.59,28.57,25.88,8.16,2.53,13.64,118.07
35,0.147025,0.000224,0.7033,97.46,13.46,10.34,6.73,11.42,36.04,43.57,0.904768,0.000891,0.5255,59.09,29.53,26.57,8.97,5.05,13.13,120.55
36,0.111115,0.000233,0.6879,96.32,14.07,8.68,9.60,5.58,26.90,43.56,0.892612,0.000916,0.5108,55.56,30.25,26.24,10.77,3.54,10.61,134.15
37,0.122716,0.000188,0.7287,98.48,12.32,9.56,6.00,14.72,41.88,36.89,0.926231,0.000917,0.5238,59.09,29.42,26.78,8.42,3.03,14.14,137.30
38,0.099643,0.000149,0.7519,99.11,11.05,8.54,5.33,14.85,50.76,34.15,0.923434,0.000828,0.5364,61.11,29.53,27.00,7.81,5.05,13.64,119.54
39,0.147865,0.000217,0.6916,97.84,14.75,10.05,8.99,8.25,28.93,48.84,0.995804,0.000976,0.4911,54.55,30.98,27.49,10.23,2.53,12.63,124.83
40,0.099247,0.000161,0.7484,99.49,10.83,8.52,5.16,16.50,51.02,39.71,0.878698,0.000847,0.5377,62.12,28.58,25.76,8.06,3.54,15.66,126.06
