Epoch,Train_MSE_Loss,Train_Box_Loss,Train_Mean_IoU,Train_Box_Hit_Rate,Train_MPE,Train_X_MAE,Train_Y_MAE,Train_PCK@5px,Train_PCK@10px,Train_Max_Error,Val_MSE_Loss,Val_Box_Loss,Val_Mean_IoU,Val_Box_Hit_Rate,Val_MPE,Val_X_MAE,Val_Y_MAE,Val_PCK@5px,Val_PCK@10px,Val_Max_Error
1,173.143295,0.337354,0.4327,34.39,38.76,20.59,28.47,1.14,5.20,134.46,232.277938,0.423173,0.3188,16.16,62.40,44.74,34.04,1.01,1.52,233.79
2,173.319980,0.337827,0.4406,36.17,39.16,20.64,28.96,1.14,5.46,135.49,233.510172,0.424489,0.3238,16.67,63.09,44.54,35.02,0.00,3.03,249.66
3,185.321249,0.361093,0.4278,33.25,39.04,21.32,27.99,1.40,5.96,138.11,246.566221,0.449803,0.3085,13.13,62.96,45.85,33.28,0.51,2.02,237.21
4,176.499402,0.343806,0.4395,36.80,38.53,20.90,27.80,0.89,5.84,141.05,231.743156,0.426063,0.3247,15.15,60.48,42.39,33.39,0.51,2.02,225.18
5,172.070201,0.332952,0.4455,36.42,38.94,22.93,26.64,1.27,5.71,148.07,228.608773,0.414424,0.3264,14.65,61.86,44.93,32.56,0.51,1.52,249.70
6,168.133833,0.326656,0.4556,39.97,39.28,21.48,28.54,1.78,5.58,134.80,223.429133,0.410039,0.3325,18.18,59.68,41.90,33.78,0.00,2.02,258.01
7,164.962775,0.319562,0.4405,38.07,39.63,22.63,28.00,2.03,6.22,137.82,218.357321,0.401675,0.3274,19.70,59.27,40.72,34.30,0.00,1.01,227.08
8,153.981821,0.300090,0.4794,47.34,36.73,19.40,26.98,2.16,7.36,135.29,211.860817,0.384840,0.3542,20.20,59.93,42.89,32.11,0.00,2.02,246.26
9,185.481694,0.362709,0.4227,32.99,35.44,19.98,25.16,2.03,6.98,125.00,236.185776,0.435798,0.3223,17.68,57.95,42.70,30.35,0.51,1.52,203.55
10,156.583376,0.306538,0.4729,43.78,34.43,17.88,25.71,1.90,7.99,121.06,214.103278,0.391387,0.3503,21.21,58.07,41.71,31.55,0.51,1.52,218.14
11,160.896145,0.314038,0.4551,40.74,36.66,19.46,26.92,1.78,5.58,121.59,216.434296,0.396389,0.3336,20.20,58.20,40.97,32.38,0.51,3.03,214.41
12,163.423310,0.319359,0.4518,38.20,35.84,19.09,26.57,1.78,6.47,130.33,219.529406,0.405616,0.3375,19.19,56.60,39.76,31.93,1.01,3.03,243.50
13,154.294822,0.297341,0.4717,44.29,37.40,23.69,24.08,1.78,5.58,107.49,211.392181,0.383961,0.3408,21.72,56.75,41.66,29.28,1.01,5.05,274.36
14,158.122557,0.309882,0.4688,44.54,32.32,17.39,23.40,2.28,7.99,121.53,221.531975,0.408927,0.3349,20.20,54.97,39.94,28.96,1.01,4.55,236.81
15,171.862750,0.336809,0.4567,37.44,34.45,17.98,25.54,1.65,7.36,114.99,232.072715,0.429836,0.3292,15.66,56.44,40.13,31.04,0.00,1.52,241.41
16,152.297331,0.296388,0.4892,52.03,34.74,19.96,24.12,1.52,7.36,122.53,216.458948,0.396630,0.3435,19.70,56.29,41.93,29.42,0.51,3.54,221.48
17,153.543004,0.300250,0.4843,47.46,33.12,18.21,23.81,2.41,7.23,113.34,208.886687,0.386264,0.3575,21.72,54.23,39.23,29.77,0.51,3.03,226.67
18,158.060767,0.308399,0.4871,48.22,32.12,19.26,21.47,1.65,8.12,109.88,219.368184,0.404126,0.3452,18.69,53.58,40.37,27.27,1.01,3.54,222.83
19,153.440484,0.300139,0.5041,53.68,31.53,18.11,21.78,1.78,8.38,112.32,213.657094,0.392632,0.3625,21.21,54.01,40.69,27.08,0.51,3.54,241.87
20,137.387739,0.267972,0.5132,55.20,33.21,18.01,23.97,1.40,6.22,117.07,193.965437,0.355201,0.3694,25.25,54.05,39.17,29.59,0.51,2.53,206.85
21,142.974195,0.278222,0.5028,52.79,31.02,18.88,20.03,2.03,8.63,106.86,201.547569,0.368124,0.3650,26.26,52.86,40.62,25.30,1.01,2.02,246.99
22,155.406099,0.302948,0.4755,43.53,33.22,19.46,22.59,1.52,7.23,114.55,211.877923,0.389602,0.3461,21.72,53.62,39.97,27.79,0.51,2.53,242.61
23,152.794527,0.298260,0.4963,51.14,34.56,18.55,25.29,1.27,7.74,113.13,208.982576,0.382201,0.3551,20.20,56.12,41.26,30.14,0.51,1.52,221.14
24,140.573947,0.273333,0.5091,55.20,32.98,19.44,22.29,1.52,5.96,114.58,202.113723,0.371018,0.3586,22.73,53.68,39.89,27.79,0.51,3.03,224.06
25,144.364454,0.281859,0.4914,49.62,30.86,18.31,20.84,1.78,8.12,103.33,197.458221,0.364058,0.3636,25.25,51.80,38.69,26.68,0.00,2.53,204.70
26,140.893438,0.274185,0.5181,58.25,33.08,19.14,22.60,1.52,7.49,115.30,196.384037,0.359798,0.3758,25.25,54.00,40.36,28.40,0.51,1.52,222.95
27,142.818235,0.279350,0.5029,52.41,32.34,17.44,23.63,1.14,6.73,116.61,202.181716,0.371256,0.3576,22.22,53.63,39.42,28.67,0.00,2.02,203.33
28,144.597972,0.281202,0.5029,52.79,32.83,19.58,22.14,2.28,8.88,108.40,205.656270,0.374999,0.3549,20.20,54.59,41.13,27.81,1.52,3.54,219.41
29,144.788942,0.283478,0.5132,55.33,32.27,17.18,23.69,2.16,7.36,112.92,206.300276,0.379013,0.3593,21.21,54.58,39.68,29.50,0.51,2.02,206.03
30,146.061559,0.285761,0.5100,55.71,32.03,17.26,23.06,1.65,7.11,114.30,202.519618,0.373579,0.3737,25.25,53.05,39.07,28.75,0.00,2.02,219.70
31,148.905739,0.290916,0.4824,44.29,31.26,18.40,21.14,0.76,7.11,105.00,206.744741,0.379283,0.3482,22.22,52.94,40.64,26.19,1.01,3.54,196.50
32,146.563435,0.288022,0.5031,53.30,29.89,15.62,22.15,2.16,8.25,111.04,207.637779,0.382115,0.3571,22.22,52.79,39.67,26.97,0.51,3.54,227.86
33,141.046117,0.276371,0.5219,60.53,28.67,16.96,19.43,2.16,7.23,109.96,203.737914,0.375076,0.3661,21.72,50.98,39.29,24.59,2.53,5.56,206.90
34,137.205946,0.268901,0.5325,62.56,29.38,15.96,21.12,2.92,8.38,104.84,193.522597,0.352932,0.3893,28.28,52.68,40.46,25.90,0.00,3.03,209.62
35,143.857525,0.281791,0.5211,59.14,29.59,16.98,20.85,1.90,7.87,106.20,199.369680,0.367265,0.3774,25.25,50.91,38.46,25.73,1.01,2.02,225.20
36,132.581305,0.257842,0.5167,54.57,31.83,18.73,21.88,2.28,6.98,109.07,186.484944,0.340573,0.3800,23.74,52.07,39.28,26.47,0.51,4.55,225.90
37,144.426708,0.283291,0.5244,59.90,27.90,16.60,18.94,1.65,8.88,104.01,205.785002,0.381242,0.3702,22.73,49.04,38.15,23.54,1.01,2.53,212.61
38,141.222325,0.277288,0.5258,61.29,29.31,15.79,21.54,2.16,9.26,105.57,199.836277,0.369045,0.3712,23.23,50.60,37.88,26.11,1.01,3.03,216.43
39,134.240096,0.262987,0.5249,58.76,28.31,16.67,19.21,2.03,7.49,98.29,191.560646,0.352588,0.3784,22.73,49.50,37.79,24.09,0.51,2.53,208.82
40,140.101669,0.274584,0.5066,53.68,30.72,16.63,22.52,1.52,6.60,107.75,202.436561,0.372402,0.3565,20.20,51.85,38.44,27.20,1.01,3.54,224.90
41,138.243586,0.270629,0.5309,62.82,29.10,16.93,20.23,3.30,10.15,111.81,196.419129,0.362211,0.3788,26.26,50.03,37.20,26.02,1.01,4.55,233.37
42,136.789110,0.268870,0.5496,72.84,27.40,15.17,19.63,2.16,9.26,107.26,197.498238,0.365899,0.3858,27.27,48.27,36.09,25.05,0.00,3.54,227.55
43,129.123658,0.253107,0.5532,70.69,28.36,16.14,20.05,2.41,8.63,108.32,188.658267,0.346615,0.3911,29.29,49.76,37.90,24.93,0.00,2.53,213.11
44,128.163757,0.248516,0.5335,61.55,30.12,19.42,18.63,2.16,9.01,96.12,184.154232,0.336631,0.3850,28.79,49.81,38.79,24.27,1.52,5.05,232.03
