Epoch,Train_MSE_Loss,Train_Box_Loss,Train_Mean_IoU,Train_Box_Hit_Rate,Train_MPE,Train_X_MAE,Train_Y_MAE,Train_PCK@5px,Train_PCK@10px,Train_Max_Error,Val_MSE_Loss,Val_Box_Loss,Val_Mean_IoU,Val_Box_Hit_Rate,Val_MPE,Val_X_MAE,Val_Y_MAE,Val_PCK@5px,Val_PCK@10px,Val_Max_Error
1,13.962745,0.068329,0.7000,97.21,13.75,10.98,6.40,9.77,36.42,44.43,25.135724,0.116417,0.5160,59.60,29.43,26.89,8.65,3.54,14.65,143.88
2,12.707522,0.062321,0.7243,98.98,12.37,9.94,5.55,14.09,41.12,42.02,24.518359,0.113083,0.5188,57.58,30.23,27.63,8.20,4.55,14.14,120.51
3,12.425548,0.061101,0.6989,96.19,14.04,9.06,9.31,7.99,29.95,36.38,23.391184,0.108837,0.5224,58.59,28.80,25.00,10.13,3.54,11.11,139.30
4,11.876150,0.058553,0.7322,99.24,11.27,8.20,6.11,13.32,44.80,36.94,23.693404,0.109730,0.5290,60.10,29.33,26.32,8.64,2.53,14.65,125.30
5,11.513376,0.056680,0.7322,98.60,11.75,8.46,6.57,12.82,42.13,35.51,23.000661,0.106437,0.5393,65.15,28.82,25.75,8.88,3.54,11.11,142.76
6,13.533044,0.066759,0.7060,98.60,12.29,8.54,7.29,10.41,38.20,36.74,25.294400,0.117358,0.5124,56.57,29.84,26.71,9.11,3.54,12.63,134.42
7,12.777399,0.063086,0.7189,98.48,11.91,8.12,7.22,11.29,37.82,34.53,24.274682,0.112674,0.5253,60.10,29.42,26.33,8.82,3.03,10.61,125.01
8,11.591220,0.056961,0.7122,97.34,13.76,8.84,8.98,10.03,33.88,35.06,23.091504,0.106992,0.5255,58.08,29.66,25.67,10.64,3.54,10.10,141.23
9,11.744826,0.057664,0.7333,98.60,12.84,9.17,7.32,10.15,38.32,37.19,23.485600,0.108264,0.5291,63.64,29.81,26.86,8.90,4.04,11.62,137.65
10,11.742451,0.057508,0.7308,97.72,12.42,9.82,5.93,13.71,42.39,40.42,23.533989,0.108458,0.5288,59.09,29.53,26.97,8.35,4.55,12.63,128.69
11,11.949461,0.058795,0.7143,97.59,12.10,8.76,6.54,11.93,38.58,34.09,23.246690,0.107890,0.5255,59.09,28.77,25.70,9.11,5.56,13.64,133.83
12,11.854890,0.058002,0.7372,99.11,13.24,10.07,6.83,12.31,38.20,41.64,23.557561,0.108412,0.5320,62.12,29.99,27.06,8.90,2.53,13.13,132.07
13,12.372218,0.061107,0.7283,98.60,11.15,7.91,6.27,13.71,44.80,39.48,23.812976,0.110687,0.5378,63.13,28.81,25.83,8.68,4.55,12.63,125.33
14,11.051913,0.054405,0.7399,99.24,11.35,8.30,6.08,13.32,45.18,31.77,23.142421,0.107295,0.5261,61.11,28.35,25.57,8.54,6.06,16.67,126.54
15,12.521721,0.061594,0.7268,98.35,11.84,9.08,5.76,13.32,42.51,46.60,23.725770,0.110034,0.5390,63.64,29.26,26.25,8.46,2.53,12.63,114.52
