Epoch,Train_MSE_Loss,Train_Box_Loss,Train_Mean_IoU,Train_Box_Hit_Rate,Train_MPE,Train_X_MAE,Train_Y_MAE,Train_PCK@5px,Train_PCK@10px,Train_Max_Error,Val_MSE_Loss,Val_Box_Loss,Val_Mean_IoU,Val_Box_Hit_Rate,Val_MPE,Val_X_MAE,Val_Y_MAE,Val_PCK@5px,Val_PCK@10px,Val_Max_Error
1,0.068621,0.000270,0.6844,94.80,13.65,10.60,6.58,11.42,35.91,43.49,0.423863,0.001002,0.5107,54.55,31.23,28.03,9.36,4.04,11.11,121.22
2,0.092692,0.000263,0.6827,93.15,15.98,12.37,7.87,7.23,28.81,53.99,0.477589,0.001072,0.4927,52.53,33.11,29.79,9.63,1.52,6.57,129.32
3,0.064626,0.000257,0.6913,94.92,13.39,10.34,6.57,9.39,36.17,46.45,0.403867,0.000971,0.5179,54.04,30.78,27.59,9.18,3.03,10.10,117.74
4,0.057456,0.000250,0.7000,96.95,12.75,9.80,6.32,9.52,38.58,41.09,0.403879,0.001014,0.5121,55.05,30.60,27.55,9.10,4.04,10.61,127.32
5,0.073853,0.000235,0.6942,95.94,14.97,10.56,8.58,7.36,28.05,46.38,0.431117,0.000989,0.5083,55.56,31.98,28.21,10.26,2.02,11.11,115.13
6,0.083627,0.000296,0.6825,93.15,14.59,12.27,5.61,8.12,34.64,46.62,0.476460,0.001008,0.5113,54.55,33.25,30.25,9.02,2.02,8.59,115.81
7,0.079814,0.000265,0.6707,93.15,16.27,10.22,10.72,5.20,23.48,46.86,0.442168,0.001030,0.4879,52.02,32.72,28.34,11.78,2.02,7.07,126.45
8,0.079026,0.000208,0.7036,95.18,14.59,10.77,7.60,10.15,32.99,71.86,0.410165,0.000931,0.5150,57.07,30.77,27.18,9.91,2.02,10.10,137.21
9,0.077867,0.000262,0.6851,93.65,14.81,11.06,7.81,8.76,33.25,45.08,0.465701,0.001086,0.4920,50.00,32.77,29.36,10.22,3.54,11.62,129.15
10,0.069935,0.000233,0.7099,97.46,13.56,10.58,6.45,10.91,36.93,59.95,0.409220,0.000998,0.5176,57.58,30.23,27.22,8.75,5.05,13.64,135.52
11,0.056550,0.000207,0.7273,96.57,11.89,9.83,4.89,16.50,47.46,44.68,0.413296,0.000939,0.5230,60.10,30.46,28.15,7.73,1.52,11.62,131.59
12,0.063265,0.000258,0.6864,95.43,13.31,10.54,6.18,7.23,36.93,39.55,0.423639,0.001017,0.5064,56.06,31.41,28.47,8.74,3.54,9.09,117.76
13,0.052358,0.000200,0.7231,97.21,12.25,9.12,6.36,11.80,40.61,41.49,0.407988,0.000915,0.5207,56.06,30.46,27.59,8.75,4.04,14.14,124.30
14,0.055537,0.000219,0.7061,96.19,12.52,9.59,6.17,12.44,38.83,41.34,0.402664,0.000985,0.5087,55.05,30.63,27.55,8.98,3.54,11.62,110.84
