Epoch,Train_MSE_Loss,Train_Box_Loss,Train_Mean_IoU,Train_Box_Hit_Rate,Train_MPE,Train_X_MAE,Train_Y_MAE,Train_PCK@5px,Train_PCK@10px,Train_Max_Error,Val_MSE_Loss,Val_Box_Loss,Val_Mean_IoU,Val_Box_Hit_Rate,Val_MPE,Val_X_MAE,Val_Y_MAE,Val_PCK@5px,Val_PCK@10px,Val_Max_Error
1,0.295569,0.003273,0.3478,23.86,54.67,46.45,21.23,1.65,5.20,253.67,0.159876,0.002041,0.3903,27.27,41.71,35.07,16.89,1.52,5.56,139.71
2,0.277178,0.002718,0.3669,29.70,52.35,44.89,19.69,1.40,4.44,319.45,0.147583,0.001854,0.3869,30.30,39.50,33.57,15.34,2.53,5.56,132.80
3,0.295273,0.002692,0.3670,29.82,54.04,47.54,18.21,1.52,5.08,279.39,0.144386,0.001551,0.4193,37.88,39.18,34.52,13.16,1.52,10.10,135.34
4,0.250080,0.002495,0.3784,31.47,50.45,44.49,17.33,1.40,4.70,219.81,0.137172,0.001437,0.4346,44.44,37.73,32.81,13.33,2.53,8.59,144.30
5,0.268308,0.002342,0.3780,30.96,51.69,45.21,17.72,1.65,5.46,280.39,0.133171,0.001349,0.4299,41.41,37.68,33.16,12.59,1.01,6.57,131.40
6,0.263541,0.002450,0.3931,34.01,49.81,44.13,15.80,0.89,5.33,291.29,0.138494,0.001465,0.4335,45.45,37.81,33.84,11.83,4.04,8.08,152.12
7,0.287240,0.002636,0.3669,29.95,52.44,45.58,18.34,1.90,6.85,295.28,0.134849,0.001376,0.4380,43.94,37.83,32.48,14.25,2.02,6.57,145.08
8,0.261408,0.002409,0.3896,34.77,50.61,44.69,16.92,1.27,5.84,251.71,0.136975,0.001409,0.4467,44.44,37.96,33.31,12.77,3.03,7.58,148.48
9,0.268526,0.002457,0.3651,29.06,51.95,46.28,16.47,1.27,4.70,242.81,0.144760,0.001500,0.4309,40.40,39.07,34.38,13.21,2.02,6.06,149.85
10,0.290567,0.002593,0.3753,31.73,52.30,46.94,15.90,1.27,5.33,236.20,0.135275,0.001308,0.4350,39.90,37.76,33.61,12.12,2.02,6.57,132.38
11,0.272960,0.002542,0.3715,31.09,51.68,45.58,16.99,1.52,4.19,315.61,0.167402,0.001506,0.4273,41.41,42.07,37.98,13.09,2.02,8.59,172.29
12,0.241603,0.002150,0.4056,35.66,48.26,42.68,15.79,1.02,5.33,292.61,0.132843,0.001331,0.4470,43.94,37.35,33.00,12.37,1.52,7.07,148.84
13,0.276019,0.002383,0.3893,34.77,50.62,44.70,16.64,1.27,5.96,427.22,0.128592,0.001295,0.4490,43.43,36.91,32.33,12.58,2.53,6.57,139.78
14,0.278171,0.002378,0.3909,34.52,51.62,46.18,15.86,1.02,5.84,232.93,0.125511,0.001389,0.4489,46.46,35.66,32.03,10.70,3.03,11.11,144.50
15,0.253545,0.002120,0.4125,37.31,49.65,43.74,16.59,1.14,5.46,275.56,0.133492,0.001280,0.4533,45.45,37.34,33.21,12.14,0.51,7.07,154.57
16,0.248595,0.002153,0.4010,36.93,49.30,42.87,17.38,1.27,5.08,291.05,0.120800,0.001218,0.4516,41.92,35.42,31.29,11.51,3.03,8.08,137.33
17,0.224573,0.002095,0.4003,35.03,46.94,41.22,15.36,1.52,6.35,252.99,0.126559,0.001319,0.4378,39.39,36.43,31.89,12.58,2.02,6.57,139.39
18,0.252454,0.002204,0.3860,34.01,50.36,44.29,16.91,1.02,3.81,306.52,0.150934,0.001502,0.4354,42.93,39.99,35.09,13.74,1.52,6.06,159.96
19,0.232279,0.002199,0.3716,30.46,48.82,42.89,16.58,2.03,5.46,221.53,0.142592,0.001531,0.4345,44.44,38.36,34.71,11.48,3.03,10.61,155.28
20,0.235696,0.001861,0.4175,38.71,47.70,42.15,15.56,1.78,5.46,286.78,0.128346,0.001345,0.4450,44.95,36.35,32.57,11.28,2.02,9.09,144.08
21,0.219713,0.001923,0.4138,37.44,46.91,41.65,15.15,1.90,6.98,237.45,0.124221,0.001296,0.4615,47.47,35.49,32.40,10.03,2.02,10.61,141.97
22,0.219074,0.002081,0.4056,36.68,46.63,39.73,17.55,1.52,4.82,312.02,0.131922,0.001384,0.4316,39.90,37.46,32.16,13.85,2.02,6.57,136.59
23,0.226660,0.002101,0.3904,33.76,48.02,42.18,15.80,1.78,5.96,243.06,0.149015,0.001560,0.4350,44.44,39.31,35.60,11.78,1.01,8.08,155.02
24,0.278411,0.002375,0.3959,35.66,52.18,46.47,16.66,1.14,4.44,272.79,0.132072,0.001378,0.4509,46.46,37.23,32.85,12.30,1.01,7.07,140.06
25,0.249551,0.002197,0.4095,36.55,48.00,43.13,14.86,1.40,7.11,332.08,0.136009,0.001371,0.4557,46.46,37.15,33.83,10.51,1.01,6.06,156.60
26,0.267799,0.002298,0.3721,29.44,51.83,46.90,15.30,0.51,6.09,207.71,0.171906,0.001754,0.4168,39.39,41.75,39.00,10.38,2.02,8.59,166.05
27,0.255201,0.002365,0.4055,38.96,48.22,42.94,15.00,1.52,6.35,321.67,0.126380,0.001342,0.4288,39.39,36.30,32.58,11.22,3.54,8.59,119.53
28,0.226108,0.001923,0.4250,43.15,46.43,41.20,14.98,1.52,7.61,229.24,0.118329,0.001237,0.4645,48.48,34.94,31.01,11.49,1.52,9.60,139.94
29,0.216988,0.001968,0.4110,36.80,46.23,40.82,14.94,1.40,4.95,291.42,0.178932,0.001481,0.4405,44.95,43.36,40.01,11.51,3.03,5.05,171.10
