Timestamp,M1_Pos,M2_Pos,M3_Pos,M4_Pos,M5_Pos,M6_Pos,M7_Pos,Event
22:21:21.252,512,512,380,800,700,512,512,
22:21:21.359,512,512,380,800,700,512,512,
22:21:21.474,512,512,380,800,700,512,512,
22:21:21.580,512,512,380,800,700,512,512,
22:21:21.684,512,512,380,800,700,512,512,
22:21:21.788,512,512,380,800,700,512,512,
22:21:21.905,512,512,380,800,700,512,512,
22:21:22.008,512,512,380,800,700,512,512,
22:21:22.108,512,512,380,800,700,512,512,
22:21:22.212,512,512,380,800,700,512,512,
22:21:22.327,512,512,380,800,700,512,512,
22:21:22.430,512,512,380,800,700,512,512,
22:21:22.531,512,512,380,800,700,512,512,
22:21:22.632,513,512,380,800,700,512,512,
22:21:22.747,520,512,380,800,700,512,512,
22:21:22.861,529,512,380,800,700,512,512,
22:21:22.963,538,512,380,800,700,512,512,
22:21:23.079,548,512,380,800,700,512,512,
22:21:23.193,557,512,380,800,700,512,512,
22:21:23.308,558,512,380,800,700,512,512,
22:21:23.423,552,512,380,800,700,512,512,
22:21:23.523,543,512,380,800,700,512,512,
22:21:23.623,536,512,380,800,700,512,512,
22:21:23.737,527,512,380,800,700,512,512,
22:21:23.853,517,512,380,800,700,512,512,
22:21:23.955,508,512,380,800,700,512,512,
22:21:24.069,504,512,380,800,700,512,512,
22:21:24.183,502,512,380,800,700,512,512,
22:21:24.282,502,512,380,800,700,512,512,
22:21:24.384,502,512,380,800,700,512,512,
22:21:24.485,502,512,380,800,700,512,512,
22:21:24.585,502,512,380,800,700,512,512,
22:21:24.685,502,512,380,800,700,512,512,
22:21:24.799,504,512,380,800,700,512,512,
22:21:24.914,511,512,380,800,700,512,512,
22:21:25.015,520,512,380,800,700,512,512,
22:21:25.118,529,512,380,800,700,512,512,
22:21:25.233,539,512,380,800,700,512,512,
22:21:25.335,549,512,380,800,700,512,512,
22:21:25.435,552,512,380,800,700,512,512,
22:21:25.551,546,512,380,800,700,512,512,
22:21:25.651,540,512,380,800,700,512,512,
22:21:25.765,538,512,380,800,700,512,512,
22:21:25.881,537,512,380,800,700,512,512,
22:21:25.981,537,512,380,800,700,512,512,
22:21:26.096,537,512,380,800,700,512,512,
22:21:26.196,537,512,380,800,700,512,512,
22:21:26.295,537,512,380,800,700,512,512,
22:21:26.411,537,512,380,800,700,512,512,
22:21:26.525,537,512,380,800,700,512,512,
22:21:26.641,537,512,380,800,700,512,512,
22:21:26.741,537,512,380,800,700,512,512,
22:21:26.855,537,512,380,800,700,512,512,
22:21:26.955,537,512,380,800,700,512,512,
22:21:27.070,537,512,380,800,700,512,512,
22:21:27.186,537,512,380,800,700,512,512,
22:21:27.286,537,512,380,800,700,512,512,
22:21:27.401,537,512,380,800,700,512,512,
22:21:27.517,537,512,380,800,700,512,512,
22:21:27.619,537,512,380,800,700,512,512,
22:21:27.738,537,512,380,800,700,512,512,
22:21:27.839,537,512,380,800,700,512,512,
22:21:27.954,537,512,380,800,700,512,512,
22:21:28.057,537,512,380,800,700,512,512,
22:21:28.162,537,512,380,800,700,512,512,
22:21:28.261,537,512,380,800,700,512,512,
22:21:28.361,537,512,380,800,700,512,512,
22:21:28.477,537,512,380,800,700,512,512,
22:21:28.578,537,512,380,800,700,512,512,
22:21:28.697,537,512,380,800,700,512,512,
22:21:28.811,537,512,380,800,700,512,512,
22:21:28.927,537,512,380,800,700,512,512,
22:21:29.029,537,512,380,800,700,512,512,
22:21:29.130,537,512,380,800,700,512,512,
22:21:29.230,537,512,380,800,700,512,512,
22:21:29.330,537,512,380,800,700,512,512,
22:21:29.445,537,512,380,800,700,512,512,
22:21:29.546,537,512,380,800,700,512,512,
22:21:29.661,537,512,380,800,700,512,512,
22:21:29.761,537,512,380,800,700,512,512,
22:21:29.876,537,512,380,800,700,512,512,
22:21:29.978,537,512,380,800,700,512,512,
22:21:30.078,537,512,380,800,700,512,512,
22:21:30.178,537,512,380,800,700,512,512,
22:21:30.291,537,512,380,800,700,512,512,
22:21:30.405,537,512,380,800,700,512,512,
22:21:30.506,537,512,380,800,700,512,512,
22:21:30.605,537,512,380,800,700,512,512,
22:21:30.719,537,512,380,800,700,512,512,
22:21:30.819,537,512,380,800,700,512,512,
22:21:30.919,537,512,380,800,700,512,512,
22:21:31.035,537,512,380,800,700,512,512,
22:21:31.153,537,512,380,800,700,512,512,
22:21:31.253,537,512,380,800,700,512,512,
22:21:31.352,537,512,380,800,700,512,512,
22:21:31.453,537,512,380,800,700,512,512,
22:21:31.566,537,512,380,800,700,512,512,
22:21:31.681,537,512,380,800,700,512,512,
22:21:31.782,537,512,380,800,700,512,512,
22:21:31.897,537,512,380,800,700,512,512,
22:21:31.997,537,512,380,800,700,512,512,
22:21:32.112,537,512,380,800,700,512,512,
22:21:32.213,537,512,380,800,700,512,512,
22:21:32.313,537,512,380,800,700,512,512,
22:21:32.413,537,512,380,800,700,512,512,
22:21:32.528,537,512,380,800,700,512,512,
22:21:32.643,537,512,380,800,700,512,512,
22:21:32.743,537,512,380,800,700,512,512,
22:21:32.858,537,512,380,800,700,512,512,
22:21:32.958,537,512,380,800,700,512,512,
22:21:33.072,537,512,380,800,700,512,512,
22:21:33.188,537,512,380,800,700,512,512,
22:21:33.288,537,512,380,800,700,512,512,
22:21:33.402,537,512,380,800,700,512,512,
22:21:33.503,537,512,380,800,700,512,512,
22:21:33.618,537,512,380,800,700,512,512,
22:21:33.734,537,512,380,800,700,512,512,
22:21:33.852,537,512,380,800,700,512,512,
22:21:33.955,537,512,380,800,700,512,512,
22:21:34.054,537,512,380,800,700,512,512,
22:21:34.157,537,512,380,800,700,512,512,
22:21:34.264,537,512,380,800,700,512,512,
22:21:34.365,537,512,380,800,700,512,512,
22:21:34.470,537,512,380,800,700,512,512,
22:21:34.570,537,512,380,800,700,512,512,
22:21:34.688,537,512,380,800,700,512,512,
22:21:34.789,537,512,380,800,700,512,512,
22:21:34.891,537,512,380,800,700,512,512,
22:21:34.991,537,512,380,800,700,512,512,
22:21:35.107,537,512,380,800,700,512,512,
22:21:35.222,537,512,380,800,700,512,512,
22:21:35.337,537,512,380,800,700,512,512,
22:21:35.438,537,512,380,800,700,512,512,
22:21:35.540,537,512,380,800,700,512,512,
22:21:35.654,537,512,380,800,700,512,512,
22:21:35.767,537,512,380,800,700,512,512,
22:21:35.884,537,512,380,800,700,512,512,
22:21:35.999,537,512,380,800,700,512,512,
22:21:36.098,537,512,380,800,700,512,512,
22:21:36.213,537,512,380,800,700,512,512,
22:21:36.328,537,512,380,800,700,512,512,
22:21:36.428,537,512,380,800,700,512,512,
22:21:36.528,537,512,380,800,700,512,512,
22:21:36.628,537,512,380,800,700,512,512,
22:21:36.742,537,512,380,800,700,512,512,
22:21:36.857,537,512,380,800,700,512,512,
