Timestamp,M1_Pos,M2_Pos,M3_Pos,M4_Pos,M5_Pos,M6_Pos,M7_Pos,Event
23:08:20.767,512,512,380,800,700,512,512,
23:08:20.883,512,512,380,800,700,512,512,
23:08:20.986,512,512,380,800,700,512,512,
23:08:21.088,512,512,380,800,700,512,512,
23:08:21.193,512,512,380,800,700,512,512,
23:08:21.293,512,512,380,800,700,512,512,
23:08:21.395,512,512,380,800,700,512,512,
23:08:21.511,512,512,380,800,700,512,512,
23:08:21.616,512,512,380,800,700,512,512,
23:08:21.722,512,512,380,800,700,512,512,
23:08:21.824,512,512,380,800,700,512,512,
23:08:21.926,512,512,380,800,700,512,512,
23:08:22.026,512,512,380,800,700,512,512,
23:08:22.140,512,512,380,800,700,512,512,
23:08:22.240,512,512,380,800,700,512,512,
23:08:22.340,517,512,380,800,700,512,512,
23:08:22.441,524,512,380,800,700,512,512,
23:08:22.557,534,512,380,800,700,512,512,
23:08:22.673,543,512,380,800,700,512,512,
23:08:22.787,553,512,380,800,700,512,512,
23:08:22.888,562,512,380,800,700,512,512,
23:08:22.989,571,512,380,800,700,512,512,
23:08:23.105,581,513,380,800,700,512,512,
23:08:23.205,591,518,380,800,700,512,512,
23:08:23.306,597,527,380,800,700,512,512,
23:08:23.407,600,536,380,800,700,512,512,
23:08:23.508,601,546,380,800,700,512,512,
23:08:23.609,602,556,380,800,700,512,512,
23:08:23.709,602,566,380,800,700,512,512,
23:08:23.809,602,575,380,800,700,512,512,
23:08:23.925,602,586,380,800,700,512,512,
23:08:24.041,602,596,380,800,700,512,512,
23:08:24.142,602,606,386,800,700,512,512,
23:08:24.242,602,615,394,800,700,512,512,
23:08:24.342,602,619,404,800,700,512,512,
23:08:24.442,602,621,414,800,700,512,512,
23:08:24.557,602,622,424,800,700,512,512,
23:08:24.672,602,622,434,800,700,512,512,
23:08:24.772,602,622,437,804,700,512,512,
23:08:24.886,602,622,439,811,700,512,512,
23:08:24.987,602,622,440,819,700,512,512,
23:08:25.087,602,622,440,829,700,512,512,
23:08:25.189,602,622,440,839,700,512,512,
23:08:25.289,602,622,440,848,700,512,512,
23:08:25.389,602,622,440,857,700,512,512,
23:08:25.490,602,622,440,865,700,512,512,
23:08:25.605,602,622,440,868,700,512,512,
23:08:25.720,602,622,440,869,700,512,512,
23:08:25.822,602,622,440,870,700,512,512,
23:08:25.936,602,622,440,870,700,512,512,
23:08:26.054,602,622,440,870,700,512,512,
23:08:26.155,602,622,440,870,700,512,512,
23:08:26.257,602,622,440,870,700,512,512,
23:08:26.371,602,622,440,870,700,512,512,
23:08:26.471,602,622,440,870,700,512,512,
23:08:26.572,602,622,440,870,700,512,512,
23:08:26.671,602,622,440,870,700,512,512,
23:08:26.786,602,622,440,870,700,512,512,
23:08:26.902,602,622,440,870,700,512,512,
23:08:27.005,602,622,440,870,700,512,512,
23:08:27.104,602,622,440,870,700,512,512,
23:08:27.222,602,622,440,870,700,512,512,
23:08:27.322,602,622,440,870,700,512,512,
23:08:27.423,602,622,440,870,700,512,512,
23:08:27.538,602,622,440,870,700,512,512,
23:08:27.638,602,622,440,870,700,512,512,
23:08:27.737,602,622,440,870,700,512,512,
23:08:27.845,602,622,440,870,700,512,512,
23:08:27.962,602,622,440,870,700,512,512,
23:08:28.064,602,622,440,870,700,512,512,
23:08:28.163,602,622,440,870,700,512,512,
23:08:28.263,602,622,440,870,700,512,512,
23:08:28.380,602,622,440,870,700,512,512,
23:08:28.496,602,622,440,870,700,512,512,
23:08:28.610,602,622,440,870,700,512,512,
23:08:28.710,602,622,440,870,700,512,512,
23:08:28.812,602,622,440,870,700,512,512,
23:08:28.912,602,622,440,870,700,512,512,
23:08:29.028,602,622,440,870,700,512,512,
23:08:29.143,602,622,440,870,700,512,512,
23:08:29.258,602,622,440,870,700,512,512,
23:08:29.372,602,622,440,870,700,512,512,
23:08:29.488,602,622,440,870,700,512,512,
23:08:29.589,602,622,440,870,700,512,512,
23:08:29.704,602,622,440,870,700,512,512,
23:08:29.818,602,622,440,870,700,512,512,
23:08:29.933,602,622,440,870,700,512,512,
23:08:30.049,602,622,440,870,700,512,512,
23:08:30.162,602,622,440,870,700,512,512,
23:08:30.277,602,622,440,870,700,512,512,
23:08:30.378,602,622,440,870,700,512,512,
23:08:30.495,602,622,440,870,700,512,512,
23:08:30.595,602,622,440,870,700,512,512,
23:08:30.695,602,622,440,870,700,512,512,
23:08:30.797,602,622,440,870,700,512,512,
23:08:30.912,602,622,440,870,700,512,512,
23:08:31.014,602,622,440,870,700,512,512,
23:08:31.129,602,622,440,870,700,512,512,
23:08:31.230,545,553,402,826,700,512,512,
23:08:31.332,524,527,388,809,700,512,512,
23:08:31.434,516,517,383,803,700,512,512,
23:08:31.537,513,514,381,801,700,512,512,
