Timestamp,M1_Pos,M2_Pos,M3_Pos,M4_Pos,M5_Pos,M6_Pos,M7_Pos,Event
23:14:39.483,512,512,380,800,700,512,512,
23:14:39.591,512,512,380,800,700,512,512,
23:14:39.697,512,512,380,800,700,512,512,
23:14:39.804,512,512,380,800,700,512,512,
23:14:39.905,512,512,380,800,700,512,512,
23:14:40.008,512,512,380,800,700,512,512,
23:14:40.107,512,512,380,800,700,512,512,
23:14:40.212,512,512,380,800,700,512,512,
23:14:40.329,512,512,380,800,700,512,512,
23:14:40.429,512,512,380,800,700,512,512,
23:14:40.532,512,512,380,800,700,512,512,
23:14:40.638,512,512,380,800,700,512,512,
23:14:40.738,512,512,380,800,700,512,512,
23:14:40.853,512,512,380,800,700,512,512,
23:14:40.952,512,512,380,800,700,512,512,
23:14:41.068,512,512,380,800,700,512,512,
23:14:41.167,512,512,380,800,700,512,512,
23:14:41.282,512,512,380,800,700,512,512,
23:14:41.384,512,512,380,800,700,512,512,
23:14:41.485,512,512,380,800,700,512,512,
23:14:41.586,512,512,380,800,700,512,512,
23:14:41.688,512,512,380,800,700,512,512,
23:14:41.789,512,512,380,800,700,512,512,
23:14:41.904,512,512,380,800,700,512,512,
23:14:42.019,512,512,380,800,700,512,512,
23:14:42.120,512,512,380,800,700,512,512,
23:14:42.237,512,512,380,800,700,512,512,
23:14:42.337,512,512,380,800,700,512,512,
23:14:42.436,512,512,380,800,700,512,512,
23:14:42.552,512,512,380,800,700,512,512,
23:14:42.668,512,512,380,800,700,512,512,
23:14:42.783,512,512,380,800,700,512,512,
23:14:42.883,512,512,380,800,700,512,512,
23:14:42.998,512,512,380,800,700,512,512,
23:14:43.099,512,512,380,800,700,512,512,
23:14:43.199,512,512,380,800,700,512,512,
23:14:43.299,512,512,380,800,700,512,512,
23:14:43.414,512,512,380,800,700,512,512,
23:14:43.515,512,512,380,800,700,512,512,
23:14:43.631,512,512,380,800,700,512,512,
23:14:43.746,512,512,380,800,700,512,512,
23:14:43.860,512,512,380,800,700,512,512,
23:14:43.976,512,512,380,800,700,512,512,
23:14:44.076,512,512,380,800,700,512,512,
23:14:44.177,512,512,380,800,700,512,512,
23:14:44.292,512,512,380,800,700,512,512,
23:14:44.405,512,512,380,800,700,512,512,
23:14:44.518,512,512,380,800,700,512,512,
23:14:44.633,512,512,380,800,700,512,512,
23:14:44.748,512,512,380,800,700,512,512,
23:14:44.864,512,512,380,800,700,512,512,
23:14:44.964,512,512,380,800,700,512,512,
23:14:45.077,512,512,380,800,700,512,512,
23:14:45.178,512,512,380,800,700,512,512,
23:14:45.280,512,512,380,800,700,512,512,
23:14:45.380,512,512,380,800,700,512,512,
23:14:45.480,512,512,380,800,700,512,512,
23:14:45.595,512,512,380,800,700,512,512,
23:14:45.710,512,512,380,800,700,512,512,
23:14:45.826,512,512,380,800,700,512,512,
23:14:45.943,512,512,380,800,700,512,512,
23:14:46.057,512,512,380,800,700,512,512,
23:14:46.157,512,512,380,800,700,512,512,
23:14:46.271,512,512,380,800,700,512,512,
23:14:46.371,512,512,380,800,700,512,512,
23:14:46.472,512,512,380,800,700,512,512,
23:14:46.571,512,512,380,800,700,512,512,
23:14:46.673,512,512,380,800,700,512,512,
