Timestamp,M1_Pos,M2_Pos,M3_Pos,M4_Pos,M5_Pos,M6_Pos,M7_Pos,Event
23:18:46.726,512,512,380,800,700,512,512,
23:18:46.829,512,512,380,800,700,512,512,
23:18:46.931,512,512,380,800,700,512,512,
23:18:47.030,512,512,380,800,700,512,512,
23:18:47.131,512,512,380,800,700,512,512,
23:18:47.246,512,512,380,800,700,512,512,
23:18:47.349,512,512,380,800,700,512,512,
23:18:47.465,512,512,380,800,700,512,512,
23:18:47.567,512,512,380,800,700,512,512,
23:18:47.668,512,512,380,800,700,512,512,
23:18:47.769,512,512,380,800,700,512,512,
23:18:47.869,512,512,380,800,700,512,512,
23:18:47.970,512,512,380,800,700,512,512,
23:18:48.086,512,512,380,800,700,512,512,
23:18:48.201,512,512,380,800,700,512,512,
23:18:48.315,512,512,380,800,700,512,512,
23:18:48.417,512,512,380,800,700,512,512,
23:18:48.516,512,512,380,800,700,512,512,
23:18:48.616,512,512,380,800,700,512,512,
23:18:48.718,512,512,380,800,700,512,512,
23:18:48.834,512,512,380,800,700,512,512,
23:18:48.934,512,512,380,800,700,512,512,
23:18:49.050,512,512,380,800,700,512,512,
23:18:49.150,512,512,380,800,700,512,512,
23:18:49.266,512,512,380,800,700,512,512,
23:18:49.367,512,512,380,800,700,512,512,
23:18:49.481,512,512,380,800,700,512,512,
23:18:49.581,512,512,380,800,700,512,512,
23:18:49.682,512,512,380,800,700,512,512,
23:18:49.783,512,512,380,800,700,512,512,
23:18:49.898,512,512,380,800,700,512,512,
23:18:50.000,512,512,380,800,700,512,512,
23:18:50.100,512,512,380,800,700,512,512,
23:18:50.217,512,512,380,800,700,512,512,
23:18:50.320,512,512,380,800,700,512,512,
23:18:50.435,512,512,380,800,700,512,512,
23:18:50.537,512,512,380,800,700,512,512,
23:18:50.638,512,512,380,800,700,512,512,
23:18:50.737,512,512,380,800,700,512,512,
23:18:50.838,512,512,380,800,700,512,512,
23:18:50.939,512,512,380,800,700,512,512,
23:18:51.042,512,512,380,800,700,512,512,
23:18:51.141,512,512,380,800,700,512,512,
23:18:51.257,512,512,380,800,700,512,512,
23:18:51.359,512,512,380,800,700,512,512,
23:18:51.473,512,512,380,800,700,512,512,
23:18:51.587,512,512,380,800,700,512,512,
23:18:51.703,512,512,380,800,700,512,512,
23:18:51.803,512,512,380,800,700,512,512,
