Timestamp,M1_Pos,M2_Pos,M3_Pos,M4_Pos,M5_Pos,M6_Pos,M7_Pos,Event
23:04:16.346,512,512,380,800,700,512,512,
23:04:16.454,512,512,380,800,700,512,512,
23:04:16.553,512,512,380,800,700,512,512,
23:04:16.670,512,512,380,800,700,512,512,
23:04:16.785,512,512,380,800,700,512,512,
23:04:16.887,512,512,380,800,700,512,512,
23:04:17.001,512,512,380,800,700,512,512,
23:04:17.115,512,512,380,800,700,512,512,
23:04:17.216,512,512,380,800,700,512,512,
23:04:17.330,512,512,380,800,700,512,512,
23:04:17.445,512,512,380,800,700,512,512,
23:04:17.545,512,512,380,800,700,512,512,
23:04:17.660,512,512,380,800,700,512,512,
23:04:17.760,512,512,380,800,700,512,512,
23:04:17.861,512,512,380,800,700,512,512,
23:04:17.962,512,512,380,800,700,512,512,
23:04:18.062,512,512,380,800,700,512,512,
23:04:18.163,512,512,380,800,700,512,512,
23:04:18.279,517,512,380,800,700,512,512,
23:04:18.378,525,512,380,800,700,512,512,
23:04:18.493,535,512,380,800,700,512,512,
23:04:18.596,544,512,380,800,700,512,512,
23:04:18.696,552,512,380,800,700,512,512,
23:04:18.798,555,512,380,800,700,512,512,
23:04:18.914,549,512,380,800,700,512,512,
23:04:19.015,543,512,380,800,700,512,512,
23:04:19.116,534,512,380,800,700,512,512,
23:04:19.218,524,512,380,800,700,512,512,
23:04:19.334,514,512,380,800,700,512,512,
23:04:19.449,505,512,380,800,700,512,512,
23:04:19.564,504,512,380,800,700,512,512,
23:04:19.678,510,512,380,800,700,512,512,
23:04:19.780,518,513,380,800,700,512,512,
23:04:19.895,524,518,380,800,700,512,512,
23:04:19.996,526,516,380,800,700,512,512,
23:04:20.097,527,509,380,800,700,512,512,
23:04:20.198,527,500,380,800,700,512,512,
23:04:20.313,527,489,380,800,700,512,512,
23:04:20.413,527,480,380,800,700,512,512,
23:04:20.515,527,471,380,800,700,512,512,
23:04:20.615,527,463,380,800,700,512,512,
23:04:20.716,527,463,380,800,700,512,512,
23:04:20.819,527,469,380,800,700,512,512,
23:04:20.918,527,478,380,800,700,512,512,
23:04:21.031,527,488,380,800,700,512,512,
23:04:21.133,527,498,380,800,700,512,512,
23:04:21.234,527,504,380,800,700,512,512,
23:04:21.336,527,502,380,800,700,512,512,
23:04:21.451,527,495,380,800,700,512,512,
23:04:21.565,527,486,380,800,700,512,512,
23:04:21.666,527,482,380,800,700,512,512,
23:04:21.768,527,485,384,800,700,512,512,
23:04:21.883,527,489,392,800,700,512,512,
23:04:21.983,527,491,401,800,700,512,512,
23:04:22.098,527,492,411,800,700,512,512,
23:04:22.212,527,492,420,800,700,512,512,
23:04:22.313,527,492,429,800,700,512,512,
23:04:22.428,527,492,439,800,700,512,512,
23:04:22.542,527,492,448,800,700,512,512,
23:04:22.657,527,492,458,800,700,512,512,
23:04:22.758,527,492,467,800,700,512,512,
23:04:22.872,527,492,475,800,700,512,512,
23:04:22.975,527,492,477,800,700,512,512,
23:04:23.078,527,492,471,800,700,512,512,
23:04:23.193,527,492,462,800,700,512,512,
23:04:23.294,527,492,452,800,700,512,512,
23:04:23.395,527,492,442,800,700,512,512,
23:04:23.511,527,492,435,800,700,512,512,
23:04:23.610,527,492,437,800,700,512,512,
23:04:23.725,527,492,439,800,700,512,512,
23:04:23.824,527,492,440,794,700,512,512,
23:04:23.926,527,492,440,786,700,512,512,
23:04:24.026,527,492,440,778,700,512,512,
23:04:24.143,527,492,440,768,700,512,512,
23:04:24.258,527,492,440,758,700,512,512,
23:04:24.372,527,492,440,749,700,512,512,
23:04:24.473,527,492,440,740,700,512,512,
23:04:24.574,527,492,440,733,700,512,512,
23:04:24.677,527,492,440,734,700,512,512,
23:04:24.779,527,492,440,741,700,512,512,
23:04:24.893,527,492,440,749,700,512,512,
23:04:24.995,527,492,440,757,700,512,512,
23:04:25.107,527,492,440,768,700,512,512,
23:04:25.223,527,492,440,777,700,512,512,
23:04:25.338,527,492,440,780,700,512,512,
23:04:25.439,527,492,440,774,700,512,512,
23:04:25.555,527,492,440,771,703,512,512,
