epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,706.179,1.06845,0.05555,0.2119,0.65858,1.15143,0.99915,1,0.995,0.74845,0.99915,1,0.995,0.99183,0.92306,0.03682,0.00255,0.37931,0.99632,0.0672973,0.00033033,0.00033033
2,1484.82,0.99035,0.02755,0.11399,0.51484,1.07422,0.07564,0.9697,0.07606,0.06167,0.07598,0.9798,0.07616,0.07582,0.72225,0.03265,0.00754,7.73289,0.92173,0.0342973,0.000663646,0.000663646
3,2262.02,0.99264,0.02414,0.07657,0.51302,1.06472,0.99782,1,0.995,0.73617,0.99782,1,0.995,0.99267,0.99488,0.03334,0.00206,1.93472,1.03014,0.00129719,0.000996889,0.000996889
4,3038.82,0.94307,0.02444,0.07961,0.47082,1.03651,0.99896,1,0.995,0.81429,0.99896,1,0.995,0.99115,0.68899,0.06479,0.00181,0.42404,0.91219,0.000999756,0.000999756,0.000999756
5,3814.93,0.9375,0.01952,0.08272,0.48238,1.04868,0.99839,1,0.995,0.7863,0.99839,1,0.995,0.99045,0.79538,0.04286,0.00053,0.46936,0.9339,0.000999566,0.000999566,0.000999566
6,4523.26,0.88506,0.01868,0.07503,0.44651,1.01138,0.99832,1,0.995,0.80878,0.99832,1,0.995,0.99176,0.75684,0.03073,0.00024,0.56815,0.91621,0.000999322,0.000999322,0.000999322
7,5251.39,0.90397,0.01773,0.07425,0.46783,1.03132,0.99687,1,0.995,0.8059,0.99687,1,0.995,0.99179,0.78614,0.01709,0.00636,0.40021,0.92451,0.000999023,0.000999023,0.000999023
8,5956.13,0.88663,0.01414,0.06973,0.44267,1.01342,0.99937,1,0.995,0.75505,0.99937,1,0.995,0.98966,0.94046,0.01885,0.00041,0.36427,0.99415,0.000998671,0.000998671,0.000998671
9,6676.5,0.85913,0.01353,0.06916,0.43226,1.00449,0.99536,1,0.995,0.8362,0.99536,1,0.995,0.99129,0.67089,0.02908,0.00053,0.38152,0.89716,0.000998264,0.000998264,0.000998264
10,7446.75,0.83975,0.01258,0.07795,0.41258,0.99985,0.99917,1,0.995,0.75665,0.99917,1,0.995,0.99376,0.89818,0.01616,0.00031,0.37489,0.96888,0.000997803,0.000997803,0.000997803
11,8224.69,0.87932,0.01379,0.06615,0.42921,1.01619,0.9992,1,0.995,0.76255,0.9992,1,0.995,0.99135,0.89713,0.02855,0.00044,0.35208,0.96588,0.000997288,0.000997288,0.000997288
12,9001.52,0.79568,0.01525,0.06028,0.4049,0.9868,0.99936,1,0.995,0.82852,0.99936,1,0.995,0.99212,0.71762,0.01461,0.00049,0.31374,0.89555,0.00099672,0.00099672,0.00099672
13,9716.96,0.84412,0.01192,0.06191,0.43149,1.00761,0.99937,1,0.995,0.77685,0.99937,1,0.995,0.98975,0.87981,0.01485,0.00049,0.38282,0.96132,0.000996097,0.000996097,0.000996097
14,10493.5,0.81756,0.01119,0.06548,0.41042,0.99476,0.99195,1,0.995,0.81579,0.99195,1,0.995,0.99155,0.70957,0.0175,0.00046,0.33214,0.91333,0.00099542,0.00099542,0.00099542
15,11273.3,0.83781,0.01227,0.05202,0.39727,1.00117,0.99932,1,0.995,0.77812,0.99932,1,0.995,0.99154,0.93522,0.01533,0.00057,0.37986,0.98015,0.00099469,0.00099469,0.00099469
16,12053.3,0.84196,0.00915,0.05044,0.41333,0.99955,0.99509,1,0.995,0.83635,0.99509,1,0.995,0.98966,0.70491,0.02756,0.00052,0.33096,0.90619,0.000993906,0.000993906,0.000993906
17,12831.7,0.80004,0.00929,0.05651,0.39739,0.98591,0.99,0.99994,0.9934,0.82316,0.99,0.99994,0.9934,0.98919,0.72365,0.02235,0.00073,0.36785,0.91546,0.000993068,0.000993068,0.000993068
18,13610.5,0.80535,0.00925,0.05744,0.39659,0.99793,0.99939,1,0.995,0.80305,0.99939,1,0.995,0.99162,0.7829,0.01464,0.00017,0.31953,0.92539,0.000992177,0.000992177,0.000992177
19,14388.9,0.81881,0.01069,0.05543,0.39357,0.98827,0.99918,1,0.995,0.81625,0.99918,1,0.995,0.99146,0.73568,0.01494,0.00034,0.43014,0.91862,0.000991232,0.000991232,0.000991232
20,15166.2,0.78485,0.00989,0.05321,0.38221,0.96714,0.99771,1,0.995,0.81933,0.99771,1,0.995,0.99177,0.75674,0.01793,0.0004,0.2969,0.91451,0.000990234,0.000990234,0.000990234
21,15943.3,0.79001,0.00901,0.05061,0.38609,0.97998,0.99841,1,0.995,0.81807,0.99841,1,0.995,0.99155,0.77471,0.01339,0.00016,0.3091,0.92092,0.000989183,0.000989183,0.000989183
22,16719.1,0.81916,0.00999,0.0615,0.40333,0.99869,0.99874,1,0.995,0.79378,0.99874,1,0.995,0.98912,0.81365,0.01751,0.0005,0.37148,0.94412,0.000988079,0.000988079,0.000988079
23,17500.1,0.79798,0.00933,0.04089,0.39649,0.97803,0.99933,1,0.995,0.79098,0.99933,1,0.995,0.99148,0.79431,0.01797,0.00029,0.33147,0.92556,0.000986922,0.000986922,0.000986922
24,18281.6,0.8304,0.01024,0.05821,0.40381,1.00031,0.99913,1,0.995,0.79817,0.99913,1,0.995,0.99157,0.78911,0.01265,0.00122,0.32417,0.93864,0.000985711,0.000985711,0.000985711
25,19060.6,0.79708,0.00806,0.0456,0.38774,0.98782,0.99869,1,0.995,0.82047,0.99869,1,0.995,0.9914,0.73321,0.0147,0.00053,0.32718,0.91572,0.000984449,0.000984449,0.000984449
26,19840.4,0.76658,0.00689,0.03994,0.37618,0.97411,0.99932,1,0.995,0.82264,0.99932,1,0.995,0.99156,0.71092,0.01696,0.00011,0.29356,0.90868,0.000983133,0.000983133,0.000983133
27,20618.7,0.77045,0.00668,0.04152,0.36934,0.97203,0.99932,1,0.995,0.81714,0.99932,1,0.995,0.99172,0.72598,0.02098,6e-05,0.29056,0.90297,0.000981765,0.000981765,0.000981765
28,21397.9,0.75325,0.00664,0.04568,0.35813,0.96266,0.99932,1,0.995,0.83205,0.99932,1,0.995,0.99203,0.67025,0.01132,0.00027,0.32892,0.89025,0.000980345,0.000980345,0.000980345
29,22176.8,0.77754,0.00611,0.05305,0.36821,0.97488,0.99904,1,0.995,0.81873,0.99904,1,0.995,0.99162,0.75162,0.0122,9e-05,0.29545,0.92375,0.000978873,0.000978873,0.000978873
30,22954.9,0.78642,0.0076,0.052,0.38636,0.9867,0.99844,1,0.995,0.84006,0.99844,1,0.995,0.99261,0.69948,0.01647,3e-05,0.30835,0.89503,0.000977349,0.000977349,0.000977349
31,23734.5,0.7635,0.00844,0.04895,0.3806,0.98005,0.9992,1,0.995,0.80738,0.9992,1,0.995,0.99306,0.83431,0.0151,3e-05,0.31344,0.94662,0.000975773,0.000975773,0.000975773
32,24514,0.75425,0.00639,0.04178,0.37191,0.96929,0.99908,1,0.995,0.8276,0.99908,1,0.995,0.99179,0.72427,0.01497,4e-05,0.29689,0.91193,0.000974145,0.000974145,0.000974145
33,25294,0.77197,0.00596,0.04166,0.36638,0.96934,0.99788,1,0.995,0.75993,0.99788,1,0.995,0.99131,0.87967,0.01232,0.00012,0.34453,0.96003,0.000972466,0.000972466,0.000972466
34,26074.9,0.79334,0.00666,0.04513,0.36524,0.98121,0.99902,1,0.995,0.83025,0.99902,1,0.995,0.99148,0.68344,0.01301,1e-05,0.2977,0.8915,0.000970736,0.000970736,0.000970736
35,26854.5,0.75859,0.00553,0.04444,0.35703,0.96916,0.99932,1,0.995,0.84282,0.99932,1,0.995,0.99196,0.66556,0.01149,6e-05,0.27982,0.88908,0.000968955,0.000968955,0.000968955
36,27634.8,0.78016,0.0088,0.05001,0.3716,0.97516,0.99896,1,0.995,0.82526,0.99896,1,0.995,0.99125,0.72541,0.01902,0.02925,0.31264,0.91875,0.000967122,0.000967122,0.000967122
37,28413.5,0.7868,0.00681,0.03182,0.37298,0.98968,0.99922,1,0.995,0.7913,0.99922,1,0.995,0.99249,0.8988,0.01376,8e-05,0.31897,0.96108,0.000965239,0.000965239,0.000965239
38,29192.4,0.75838,0.00708,0.03812,0.36092,0.96409,0.99938,1,0.995,0.86363,0.99938,1,0.995,0.99425,0.63244,0.01398,0.00109,0.26471,0.87881,0.000963306,0.000963306,0.000963306
39,29972.9,0.72947,0.008,0.05047,0.34292,0.9499,0.99899,1,0.995,0.83165,0.99899,1,0.995,0.99103,0.73177,0.01413,3e-05,0.27512,0.91741,0.000961322,0.000961322,0.000961322
40,30754.3,0.73349,0.00607,0.03812,0.34426,0.96297,0.99592,1,0.995,0.84342,0.99592,1,0.995,0.99105,0.66071,0.02632,0.0009,0.33368,0.89797,0.000959289,0.000959289,0.000959289
41,31537.8,0.75058,0.00627,0.05407,0.35039,0.95967,0.99482,1,0.995,0.82597,0.99482,1,0.995,0.9925,0.74717,0.0118,0.00033,0.29374,0.90875,0.000957205,0.000957205,0.000957205
42,32317.6,0.7561,0.00811,0.05466,0.35711,0.96602,0.99905,1,0.995,0.83197,0.99905,1,0.995,0.98963,0.72075,0.01851,0.00126,0.29107,0.90556,0.000955072,0.000955072,0.000955072
43,33096.2,0.75633,0.00817,0.04825,0.36318,0.96103,0.99902,1,0.995,0.85638,0.99902,1,0.995,0.99237,0.65063,0.01282,0.00089,0.27385,0.88131,0.000952889,0.000952889,0.000952889
44,33876.3,0.75587,0.00733,0.04899,0.35286,0.95863,0.99937,1,0.995,0.81929,0.99937,1,0.995,0.99155,0.77771,0.01492,0.00011,0.31255,0.91967,0.000950658,0.000950658,0.000950658
45,34656.7,0.7321,0.00539,0.04543,0.34156,0.95242,0.99939,1,0.995,0.8469,0.99939,1,0.995,0.9942,0.68691,0.01283,7e-05,0.28065,0.88898,0.000948377,0.000948377,0.000948377
46,35437.3,0.73924,0.00599,0.03497,0.34195,0.96234,0.99942,1,0.995,0.85103,0.99942,1,0.995,0.99201,0.63366,0.0139,0.0001,0.26569,0.87686,0.000946048,0.000946048,0.000946048
47,36219.1,0.76383,0.00535,0.05134,0.35894,0.97288,0.65843,0.11697,0.13973,0.08224,0.37422,0.24242,0.35917,0.27414,1.45216,0.11257,3.11053,3.54759,1.31527,0.000943671,0.000943671,0.000943671
48,37001.3,0.7738,0.00513,0.03588,0.36159,0.96795,0.99929,1,0.995,0.81617,0.99929,1,0.995,0.9917,0.71185,0.0132,0.00329,0.27007,0.90523,0.000941245,0.000941245,0.000941245
49,37783.3,0.71668,0.00654,0.04226,0.3426,0.9507,0.9994,1,0.995,0.79791,0.9994,1,0.995,0.99199,0.78835,0.01191,0.00038,0.3106,0.9295,0.000938772,0.000938772,0.000938772
