epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,1258.81,0.91732,0.03489,0.10102,0.55321,1.21101,0.99767,1,0.995,0.55775,0.99767,1,0.995,0.995,1.48712,0.04762,0.00453,0.69567,1.73636,0.0018218,0.0018218,0.0018218
29,1303.53,0.95954,0.03478,0.08243,0.56559,1.2118,0.99771,1,0.995,0.57471,0.99771,1,0.995,0.98302,1.50302,0.05353,0.00226,0.59639,1.72203,0.0018152,0.0018152,0.0018152
30,1348.25,0.96312,0.02868,0.09138,0.60507,1.21294,0.99799,1,0.995,0.74478,0.99799,1,0.995,0.995,1.01719,0.04951,0.00169,0.50264,1.33357,0.0018086,0.0018086,0.0018086
31,1392.56,1.07222,0.02765,0.04945,0.61248,1.30176,1,0.99677,0.995,0.71006,1,0.99677,0.995,0.995,1.10604,0.04789,0.00214,0.53929,1.41487,0.001802,0.001802,0.001802
32,1436.42,0.88964,0.03418,0.097,0.57042,1.16914,1,0.99702,0.995,0.70986,1,0.99702,0.995,0.995,1.07629,0.04903,0.0027,0.49726,1.3886,0.0017954,0.0017954,0.0017954
33,1480.58,0.89496,0.04119,0.0987,0.54697,1.16921,1,0.99856,0.995,0.63681,1,0.99856,0.995,0.98432,1.33217,0.0532,0.00242,0.53817,1.58798,0.0017888,0.0017888,0.0017888
34,1525.05,0.89207,0.03375,0.09041,0.54264,1.17648,1,0.99891,0.995,0.71698,1,0.99891,0.995,0.98558,1.11852,0.05079,0.00203,0.46482,1.41918,0.0017822,0.0017822,0.0017822
35,1568.69,0.91821,0.02544,0.1083,0.57363,1.19752,0.99931,1,0.995,0.67527,0.99931,1,0.995,0.995,1.26919,0.04817,0.00152,0.51958,1.56811,0.0017756,0.0017756,0.0017756
36,1612.16,0.91239,0.0345,0.07027,0.55116,1.21617,0.9978,1,0.995,0.66287,0.9978,1,0.995,0.995,1.31315,0.04635,0.00143,0.52432,1.6635,0.001769,0.001769,0.001769
37,1655.64,0.97659,0.03316,0.09502,0.5231,1.21653,0.99746,1,0.995,0.73721,0.99746,1,0.995,0.995,1.07567,0.04573,0.00293,0.45973,1.4342,0.0017624,0.0017624,0.0017624
38,1699.75,1.03256,0.0248,0.07492,0.77991,1.34614,0.99772,1,0.995,0.74926,0.99772,1,0.995,0.995,1.00085,0.04705,0.00404,0.40281,1.30087,0.0017558,0.0017558,0.0017558
39,1743.42,0.87132,0.02803,0.13052,0.49843,1.231,0.99674,1,0.995,0.74543,0.99674,1,0.995,0.995,1.04395,0.05115,0.0028,0.42987,1.33398,0.0017492,0.0017492,0.0017492
40,1788.26,0.87944,0.03431,0.07542,0.51258,1.20613,0.99599,1,0.995,0.75343,0.99599,1,0.995,0.995,1.00409,0.05208,0.00152,0.48572,1.31834,0.0017426,0.0017426,0.0017426
41,1833.1,0.95341,0.03384,0.05545,0.53556,1.27473,0.99659,1,0.995,0.69879,0.99659,1,0.995,0.995,1.13412,0.05065,0.00156,0.50203,1.40621,0.001736,0.001736,0.001736
42,1878.43,0.92298,0.02143,0.06446,0.53743,1.22857,0.99674,1,0.995,0.72437,0.99674,1,0.995,0.995,1.05772,0.04001,0.00112,0.42516,1.3345,0.0017294,0.0017294,0.0017294
43,1923.49,0.79264,0.03393,0.04065,0.47991,1.16407,0.99646,1,0.995,0.72209,0.99646,1,0.995,0.995,0.99082,0.04048,0.00085,0.42683,1.31913,0.0017228,0.0017228,0.0017228
44,1968.14,0.82871,0.02057,0.08673,0.49609,1.13122,0.99593,1,0.995,0.77889,0.99593,1,0.995,0.995,0.90963,0.04072,0.00101,0.43403,1.25018,0.0017162,0.0017162,0.0017162
45,2012.94,0.86692,0.01899,0.12679,0.53933,1.17571,0.99722,1,0.995,0.76395,0.99722,1,0.995,0.995,0.9771,0.04009,0.0015,0.47338,1.32048,0.0017096,0.0017096,0.0017096
46,2058.41,0.80117,0.032,0.06426,0.47748,1.16485,0.99745,1,0.995,0.72984,0.99745,1,0.995,0.995,0.94087,0.03615,0.00444,0.43481,1.29469,0.001703,0.001703,0.001703
47,2103.58,0.87177,0.02626,0.10396,0.51603,1.17755,0.99743,1,0.995,0.72369,0.99743,1,0.995,0.995,0.93998,0.03669,0.00393,0.44058,1.28933,0.0016964,0.0016964,0.0016964
48,2148.73,0.79534,0.02941,0.07231,0.46063,1.15369,0.9973,1,0.995,0.68813,0.9973,1,0.995,0.995,1.07728,0.04289,0.00238,0.49103,1.4132,0.0016898,0.0016898,0.0016898
49,2193.26,0.83078,0.0266,0.06704,0.47398,1.11876,1,0.9956,0.995,0.64648,1,0.9956,0.995,0.995,1.16927,0.04724,0.00174,0.55599,1.51056,0.0016832,0.0016832,0.0016832
50,2237.28,0.81359,0.02009,0.1307,0.49057,1.15071,0.9966,1,0.995,0.73569,0.9966,1,0.995,0.995,0.88224,0.04593,0.00404,0.44314,1.24222,0.0016766,0.0016766,0.0016766
51,2281.04,0.86564,0.03009,0.05279,0.47678,1.18824,0.9967,1,0.995,0.77172,0.9967,1,0.995,0.995,0.87829,0.04488,0.00877,0.43966,1.21272,0.00167,0.00167,0.00167
52,2325.25,0.80954,0.02636,0.07084,0.49444,1.1571,0.99717,1,0.995,0.73661,0.99717,1,0.995,0.995,0.99854,0.04202,0.01859,0.45684,1.29756,0.0016634,0.0016634,0.0016634
53,2370.47,0.8441,0.03353,0.02468,0.45836,1.13443,0.99779,1,0.995,0.76638,0.99779,1,0.995,0.995,0.92431,0.04331,0.02677,0.48329,1.24752,0.0016568,0.0016568,0.0016568
54,2416.72,0.76082,0.0252,0.04283,0.43816,1.10803,1,0.99901,0.995,0.75037,1,0.99901,0.995,0.995,0.94157,0.03854,0.00934,0.5247,1.2763,0.0016502,0.0016502,0.0016502
