Epoch,Train_MSE_Loss,Train_Box_Loss,Train_Mean_IoU,Train_Box_Hit_Rate,Train_MPE,Train_X_MAE,Train_Y_MAE,Train_PCK@5px,Train_PCK@10px,Train_Max_Error,Val_MSE_Loss,Val_Box_Loss,Val_Mean_IoU,Val_Box_Hit_Rate,Val_MPE,Val_X_MAE,Val_Y_MAE,Val_PCK@5px,Val_PCK@10px,Val_Max_Error
1,1.341941,0.010962,0.2346,15.61,96.56,80.37,38.32,0.76,2.41,585.17,0.576658,0.002281,0.3693,31.31,44.67,38.20,16.48,1.01,5.05,197.42
2,1.186404,0.009471,0.2478,17.89,86.28,74.12,31.15,0.76,3.05,487.92,0.500189,0.002064,0.4040,35.35,40.04,35.18,12.37,3.54,7.58,161.53
3,1.210447,0.009249,0.2446,17.01,86.91,73.19,33.03,0.13,1.78,505.11,0.528237,0.001942,0.4278,42.42,40.49,33.45,16.37,2.53,6.57,147.76
4,1.200036,0.009208,0.2505,20.43,86.15,73.15,32.92,0.51,2.92,343.15,0.567617,0.001827,0.4412,46.46,43.95,37.60,15.93,0.51,5.56,167.31
5,1.195325,0.009326,0.2379,17.64,87.18,74.47,32.38,0.76,2.16,397.23,0.452732,0.001885,0.4376,44.95,36.78,32.41,11.11,1.52,9.09,151.16
6,1.125562,0.008140,0.2596,19.67,82.63,71.50,29.37,0.76,2.92,424.69,0.452593,0.001535,0.4751,52.02,35.43,30.52,12.82,6.06,13.13,143.66
7,1.163668,0.008677,0.2567,20.69,84.20,72.87,30.55,0.13,1.78,428.72,0.445019,0.001463,0.4652,51.01,36.00,31.76,11.43,2.53,11.62,149.59
8,1.166327,0.008340,0.2499,19.16,84.92,73.77,30.29,0.89,2.41,338.74,0.418851,0.001592,0.4715,48.48,33.66,29.80,10.58,4.55,12.63,147.85
9,1.109490,0.008376,0.2728,22.21,80.86,70.56,27.97,1.27,3.43,384.21,0.481567,0.001882,0.4521,45.96,37.59,32.57,13.32,2.02,6.57,159.23
10,1.136130,0.008950,0.2421,17.77,82.77,71.12,29.58,0.76,3.05,360.28,0.427614,0.001548,0.4602,45.96,34.91,31.27,10.67,1.01,8.59,145.24
11,1.085649,0.007638,0.2812,23.10,78.96,67.39,29.27,1.14,4.06,414.01,0.458650,0.001663,0.4706,48.99,36.54,31.02,12.97,1.52,8.59,160.00
12,1.098527,0.008112,0.2535,19.04,79.53,67.74,28.71,1.27,3.55,396.27,0.440757,0.001512,0.4643,45.96,34.88,29.57,12.71,1.52,9.60,151.09
13,1.058146,0.007492,0.2750,20.18,76.75,65.64,28.70,0.76,4.31,328.81,0.456568,0.001622,0.4560,43.43,37.04,33.51,10.95,2.02,7.07,155.21
14,1.073423,0.007976,0.2653,19.92,76.94,65.41,29.06,0.63,3.55,442.24,0.440900,0.001837,0.4367,37.37,35.20,29.26,13.85,2.02,7.58,151.33
15,1.053452,0.007447,0.2826,21.70,76.48,66.51,26.91,0.89,2.92,368.34,0.419374,0.001437,0.4551,42.42,33.57,28.09,12.77,2.02,8.08,141.25
16,1.062853,0.007310,0.2724,20.81,78.09,66.72,28.72,1.27,3.93,332.12,0.388134,0.001385,0.4688,43.43,32.17,27.74,10.70,2.53,11.11,157.70
17,1.048163,0.007343,0.2830,21.95,76.48,67.03,26.00,0.89,3.81,383.34,0.412574,0.001312,0.4797,50.51,33.56,29.44,10.88,4.04,8.08,149.40
18,1.088743,0.007739,0.2768,21.83,79.15,67.36,30.13,1.02,2.79,478.75,0.413969,0.001207,0.4806,52.02,33.37,28.17,12.74,1.52,7.58,117.07
19,1.035372,0.007544,0.2849,22.97,76.57,66.82,26.38,0.89,3.43,388.67,0.387618,0.001211,0.4879,51.01,32.14,28.80,9.74,4.04,9.09,144.93
20,1.002822,0.007119,0.2811,21.32,72.94,63.55,25.89,0.89,2.92,459.73,0.377683,0.001334,0.4759,48.99,31.59,27.92,10.23,1.52,8.08,149.33
21,1.073804,0.007335,0.2879,23.98,78.12,65.33,30.76,0.89,3.81,375.86,0.385386,0.001265,0.4825,47.98,31.29,26.84,11.42,2.02,8.59,136.66
