Epoch,Train_MSE_Loss,Train_Box_Loss,Train_Mean_IoU,Train_Box_Hit_Rate,Train_MPE,Train_X_MAE,Train_Y_MAE,Train_PCK@5px,Train_PCK@10px,Train_Max_Error,Val_MSE_Loss,Val_Box_Loss,Val_Mean_IoU,Val_Box_Hit_Rate,Val_MPE,Val_X_MAE,Val_Y_MAE,Val_PCK@5px,Val_PCK@10px,Val_Max_Error
1,1.462382,0.013779,0.2424,17.89,103.05,88.10,38.63,0.38,1.65,532.45,0.532317,0.001761,0.4398,43.94,40.58,32.09,18.31,1.52,4.04,166.82
2,1.172646,0.008789,0.2429,17.39,84.62,71.97,31.80,0.38,2.16,371.82,0.466118,0.001708,0.4472,42.42,37.40,32.55,12.85,2.53,5.05,164.04
3,1.206518,0.009359,0.2443,18.27,87.62,76.74,30.74,0.63,2.28,436.16,0.463044,0.001702,0.4358,41.41,37.21,32.34,11.95,0.00,7.07,154.83
4,1.196674,0.008646,0.2546,19.04,87.39,75.09,31.60,0.51,2.16,365.89,0.551868,0.001703,0.4396,42.42,42.64,33.25,19.55,1.01,3.54,150.38
5,1.174841,0.009238,0.2523,19.42,84.91,72.76,30.96,1.14,2.54,407.05,0.445313,0.001622,0.4529,43.94,35.99,31.33,12.44,0.51,5.05,143.12
6,1.146177,0.008604,0.2609,19.29,84.12,72.28,30.14,0.63,2.79,382.38,0.488905,0.001689,0.4483,43.94,38.31,31.59,15.19,1.52,7.58,154.21
7,1.091387,0.008134,0.2596,19.16,80.52,68.83,29.09,0.63,2.28,394.06,0.478681,0.001768,0.4366,44.95,38.35,33.08,12.60,1.01,7.58,173.08
8,1.117016,0.008500,0.2683,21.19,81.62,70.03,29.26,0.51,2.16,479.05,0.426527,0.001520,0.4588,45.45,34.28,28.34,13.03,2.02,6.06,152.26
9,1.153588,0.009049,0.2547,19.42,83.49,70.80,31.33,0.38,2.54,423.20,0.451711,0.001437,0.4640,46.97,35.75,30.53,12.88,1.52,6.06,124.35
