Epoch,Train_MSE_Loss,Train_Box_Loss,Train_Mean_IoU,Train_Box_Hit_Rate,Train_MPE,Train_X_MAE,Train_Y_MAE,Train_PCK@5px,Train_PCK@10px,Train_Max_Error,Val_MSE_Loss,Val_Box_Loss,Val_Mean_IoU,Val_Box_Hit_Rate,Val_MPE,Val_X_MAE,Val_Y_MAE,Val_PCK@5px,Val_PCK@10px,Val_Max_Error
1,0.960375,0.004088,0.3894,38.45,52.30,45.45,18.19,2.92,7.99,283.29,0.505341,0.001046,0.5250,58.59,28.85,24.78,10.48,2.53,9.60,143.25
2,0.876665,0.003166,0.4080,40.48,47.92,40.08,18.93,2.54,8.63,271.73,0.493321,0.001081,0.5246,59.09,28.26,24.04,10.54,5.05,15.15,140.74
3,0.840723,0.003044,0.4131,39.34,46.01,38.11,18.41,1.90,7.36,268.55,0.502268,0.001065,0.5202,57.07,28.99,24.43,10.93,3.54,12.12,139.60
4,0.957562,0.003732,0.3890,36.80,51.76,42.89,21.06,1.65,5.33,317.00,0.548754,0.001239,0.4932,49.49,31.15,25.47,12.60,1.52,9.60,140.20
5,0.875721,0.003291,0.4076,39.97,47.79,38.97,20.11,1.52,5.96,261.22,0.513578,0.001163,0.5173,55.56,29.37,24.37,11.40,1.52,12.63,144.89
6,0.863588,0.003174,0.4139,39.72,47.23,39.00,19.51,2.41,8.25,327.25,0.512009,0.001152,0.5139,56.57,29.17,24.12,11.45,4.04,9.60,152.69
7,0.865524,0.003169,0.4027,38.96,46.55,38.00,20.25,1.78,6.35,269.56,0.489647,0.001089,0.5244,60.61,28.04,24.01,10.18,4.55,14.14,138.42
8,0.885734,0.003252,0.3941,38.71,48.03,39.68,19.79,1.02,4.70,256.06,0.505327,0.001082,0.5264,58.08,28.82,24.44,10.78,3.03,12.12,126.20
9,0.886465,0.003324,0.4064,40.86,48.33,40.43,18.51,1.90,6.73,311.67,0.502938,0.001183,0.5151,53.54,28.66,24.69,10.64,2.53,12.12,153.34
10,0.799423,0.002870,0.4136,39.21,44.03,36.91,17.28,2.66,7.61,252.59,0.492730,0.001142,0.5175,56.57,28.12,23.67,10.69,4.04,12.63,136.72
11,0.923523,0.003523,0.3988,36.17,50.62,42.51,19.16,0.25,5.20,327.35,0.540610,0.001309,0.5014,55.05,31.16,25.97,11.67,1.01,9.09,173.58
12,0.842446,0.003096,0.3981,37.06,46.35,38.47,18.56,2.92,7.11,252.55,0.526584,0.001177,0.5138,57.07,30.00,24.80,11.85,4.55,12.63,143.98
13,0.911111,0.003519,0.3974,37.44,49.25,41.07,19.65,1.40,5.20,333.37,0.525187,0.001125,0.5246,58.59,29.83,25.30,11.14,3.03,11.11,133.70
14,0.917281,0.003446,0.4050,37.31,49.04,39.11,21.90,1.27,5.58,255.59,0.524922,0.001105,0.5290,60.10,29.66,25.23,11.22,4.55,12.63,124.21
15,0.902358,0.003131,0.4090,39.72,48.78,40.20,20.06,1.27,6.35,303.10,0.525010,0.001104,0.5292,58.08,29.92,24.96,11.42,2.53,9.60,159.48
16,0.877770,0.003696,0.4097,39.72,47.91,40.11,19.03,1.90,7.11,347.53,0.507172,0.001237,0.5046,51.01,29.32,25.47,9.90,5.05,9.60,161.61
17,0.840120,0.003167,0.4074,38.20,46.11,39.04,17.31,1.65,6.60,249.13,0.509854,0.001108,0.5259,57.58,29.18,24.68,10.86,3.54,11.11,138.02
18,0.870453,0.003409,0.4072,39.59,47.40,39.01,19.70,1.90,6.47,297.07,0.552847,0.001177,0.5101,56.57,31.33,25.65,12.59,0.51,9.09,137.16
19,0.843826,0.003247,0.4157,39.09,45.99,38.54,18.34,1.52,7.87,341.01,0.518317,0.001190,0.5075,55.05,29.46,24.90,11.02,1.52,11.11,140.94
20,0.885195,0.003141,0.4138,41.37,48.68,41.19,18.56,1.14,5.71,270.65,0.519928,0.001071,0.5292,57.58,29.64,25.12,10.98,3.54,12.63,120.08
21,0.866279,0.003116,0.4107,41.75,46.98,39.47,18.29,0.89,5.84,289.95,0.501934,0.001110,0.5252,59.60,28.50,24.12,10.84,3.03,13.13,127.84
22,0.888508,0.003458,0.3971,38.32,47.30,39.00,19.29,1.78,7.23,258.53,0.504880,0.001135,0.5246,59.09,28.52,23.46,11.67,1.52,10.61,134.69
23,0.883494,0.003430,0.3973,37.44,47.99,39.69,19.48,1.90,6.60,259.85,0.516542,0.001150,0.5161,57.07,29.29,24.34,11.47,1.52,9.60,144.20
24,0.833887,0.003209,0.4082,40.86,45.86,39.28,16.77,1.78,8.50,270.10,0.543113,0.001249,0.4926,54.55,31.24,27.83,9.73,4.55,10.10,113.99
25,0.904645,0.003477,0.3965,36.04,48.60,38.92,21.90,1.40,6.09,290.02,0.540403,0.001156,0.5201,57.07,30.06,24.26,13.02,4.04,9.60,144.58
26,0.883667,0.003360,0.4114,40.36,48.02,39.78,19.61,2.28,5.84,327.41,0.501669,0.001120,0.5305,59.60,28.52,23.95,10.96,2.02,11.62,139.91
27,0.810237,0.003141,0.4218,41.37,44.52,36.86,18.18,1.78,6.98,354.93,0.499892,0.001052,0.5267,60.61,28.72,24.82,10.16,5.56,11.11,124.25
28,0.840771,0.002628,0.4296,43.15,45.79,37.97,18.47,2.54,7.11,255.99,0.536720,0.001089,0.5281,59.60,30.40,24.90,12.33,1.01,7.58,141.99
29,0.817040,0.002814,0.4196,41.75,44.70,37.33,17.92,2.16,6.98,265.31,0.508326,0.001072,0.5373,62.63,29.10,24.38,11.01,1.52,12.12,141.80
30,0.837332,0.002947,0.4294,43.15,44.87,36.97,19.05,1.14,6.09,346.51,0.513041,0.001099,0.5293,58.08,29.33,24.72,10.90,4.55,10.10,137.73
31,0.868585,0.003038,0.4190,40.74,46.74,38.10,19.75,1.65,5.96,368.28,0.541724,0.001200,0.5166,58.59,30.48,25.20,12.25,2.02,10.61,133.99
32,0.818054,0.002987,0.4110,39.34,44.94,37.76,17.64,1.27,8.50,285.94,0.531887,0.001124,0.5150,56.57,30.30,25.18,11.57,2.02,9.09,141.56
33,0.884973,0.003356,0.4057,39.72,47.90,38.98,20.44,1.52,5.58,294.17,0.575455,0.001179,0.5070,56.57,31.90,24.90,14.79,2.53,7.07,128.51
34,0.793767,0.002749,0.4181,41.24,43.56,36.32,17.37,2.28,7.36,244.66,0.511925,0.001100,0.5325,59.60,29.02,24.70,10.85,3.03,12.63,128.43
35,0.822724,0.003109,0.4156,40.61,45.08,38.48,16.81,3.05,8.38,304.10,0.495175,0.001172,0.5238,58.08,28.39,23.99,10.52,2.53,12.12,162.62
