Epoch,Train_MSE_Loss,Train_Box_Loss,Train_Mean_IoU,Train_Box_Hit_Rate,Train_MPE,Train_X_MAE,Train_Y_MAE,Train_PCK@5px,Train_PCK@10px,Train_Max_Error,Val_MSE_Loss,Val_Box_Loss,Val_Mean_IoU,Val_Box_Hit_Rate,Val_MPE,Val_X_MAE,Val_Y_MAE,Val_PCK@5px,Val_PCK@10px,Val_Max_Error
1,0.674698,0.006427,0.3104,24.62,68.95,58.08,26.78,0.76,3.68,387.20,0.325260,0.001560,0.4315,40.40,35.33,30.05,13.14,1.52,7.58,144.51
2,0.689719,0.006876,0.2998,24.37,69.82,56.26,31.20,0.89,3.05,452.35,0.318837,0.001490,0.4527,45.96,33.94,25.42,17.49,1.01,6.06,151.73
3,0.624910,0.005954,0.3171,26.40,64.61,55.10,24.35,0.89,4.31,449.97,0.390272,0.001621,0.4501,45.45,42.47,36.64,15.06,0.00,2.53,137.42
4,0.624772,0.005518,0.3321,28.55,65.38,55.59,23.74,2.16,5.71,416.85,0.329536,0.001798,0.4258,37.88,36.25,31.09,12.77,0.00,6.06,120.77
5,0.637672,0.005840,0.3264,26.78,66.47,56.39,25.05,0.25,1.65,309.16,0.328053,0.001292,0.4802,51.52,35.95,30.18,14.09,0.51,7.58,135.63
6,0.572387,0.004683,0.3522,31.09,59.86,50.32,23.39,1.78,5.84,273.14,0.280308,0.001036,0.5187,57.58,32.44,29.20,9.12,4.55,14.65,137.04
7,0.665080,0.005750,0.3319,30.20,68.69,58.91,25.52,1.02,4.06,465.63,0.300859,0.001313,0.4697,47.98,33.62,25.97,15.08,1.52,5.56,166.89
8,0.614025,0.005389,0.3366,30.96,63.80,54.51,23.85,1.52,5.71,392.87,0.280446,0.001051,0.5290,55.05,31.94,26.62,11.99,2.02,8.59,148.27
9,0.580773,0.005016,0.3623,31.85,61.20,52.72,21.87,1.14,4.57,383.59,0.279538,0.001113,0.5076,57.07,31.73,27.34,10.75,2.53,9.60,172.45
10,0.545198,0.004484,0.3533,30.08,57.58,48.99,21.67,1.02,5.20,344.00,0.308966,0.001238,0.4835,49.49,34.93,30.11,12.10,2.53,6.57,115.46
11,0.596815,0.004961,0.3577,32.11,60.76,51.27,23.85,1.40,4.31,407.11,0.309198,0.001230,0.4874,47.47,34.25,29.40,12.05,2.53,7.58,114.68
12,0.578825,0.004638,0.3487,30.08,60.84,50.94,23.81,1.02,5.20,331.91,0.326441,0.001438,0.4505,44.95,36.22,31.67,12.01,2.02,6.57,119.88
13,0.622629,0.005493,0.3207,27.03,64.19,54.20,24.89,1.02,3.81,380.13,0.299421,0.001610,0.4450,40.40,32.61,28.30,11.58,2.53,7.58,136.02
14,0.638377,0.005806,0.3181,26.52,66.15,56.59,25.06,0.76,3.68,356.88,0.357972,0.001698,0.4420,44.95,38.08,31.90,15.37,0.51,5.05,157.47
15,0.655516,0.005900,0.3341,28.68,67.39,57.97,24.41,1.14,4.06,389.81,0.305727,0.001667,0.4294,42.93,34.09,30.75,9.93,1.01,8.59,139.17
16,0.583475,0.005307,0.3467,29.82,60.90,52.94,20.90,1.27,4.82,325.33,0.267422,0.001365,0.4728,44.95,30.53,27.19,9.15,2.53,8.59,195.33
17,0.592631,0.005139,0.3496,30.96,61.08,50.84,24.12,1.14,4.57,311.76,0.301193,0.001316,0.4721,44.44,33.91,30.07,10.41,2.02,9.60,153.60
18,0.590173,0.005247,0.3420,30.20,61.83,53.41,22.29,0.38,4.44,352.39,0.316153,0.001358,0.4677,46.97,35.93,33.29,8.93,2.53,9.09,116.29
19,0.602697,0.005515,0.3504,31.98,62.31,54.39,21.80,0.89,4.57,288.37,0.275144,0.001295,0.4822,48.48,31.04,27.56,9.68,1.01,8.08,166.42
20,0.559974,0.004566,0.3629,31.22,58.55,49.59,22.48,0.89,4.44,314.41,0.317436,0.001374,0.4557,44.44,35.35,31.73,10.88,2.02,7.58,128.59
21,0.567653,0.004674,0.3628,32.74,59.30,49.55,23.52,1.40,4.57,454.53,0.309073,0.001709,0.4357,38.38,34.29,29.84,11.40,3.03,7.07,173.49
22,0.549948,0.004701,0.3721,34.64,57.97,49.63,20.84,1.78,6.73,422.59,0.316739,0.001355,0.4542,41.92,35.81,32.01,10.83,1.52,6.06,134.68
23,0.562758,0.004688,0.3490,30.08,59.02,50.59,21.65,1.40,4.82,446.28,0.281676,0.001314,0.4673,42.93,31.80,27.81,9.95,3.54,8.08,173.91
24,0.564521,0.004378,0.3589,31.09,58.69,49.73,23.31,2.16,5.20,353.84,0.311081,0.001301,0.4778,46.97,33.74,27.93,13.61,1.01,5.05,160.54
