Epoch,Train_MSE_Loss,Train_Box_Loss,Train_Mean_IoU,Train_Box_Hit_Rate,Train_MPE,Train_X_MAE,Train_Y_MAE,Train_PCK@5px,Train_PCK@10px,Train_Max_Error,Val_MSE_Loss,Val_Box_Loss,Val_Mean_IoU,Val_Box_Hit_Rate,Val_MPE,Val_X_MAE,Val_Y_MAE,Val_PCK@5px,Val_PCK@10px,Val_Max_Error
1,0.434455,0.000190,0.7781,100.00,8.79,4.51,6.81,15.36,66.62,85.92,0.822597,0.000527,0.6463,81.82,16.67,11.66,9.30,5.05,22.22,75.79
2,0.367313,0.000148,0.8105,100.00,7.64,4.76,4.85,23.73,76.90,84.19,0.763507,0.000475,0.6641,85.35,15.96,11.99,7.56,6.06,29.29,71.47
3,0.345774,0.000156,0.8151,100.00,7.10,4.08,5.06,27.79,84.90,86.50,0.770854,0.000494,0.6614,84.34,16.13,12.16,7.53,7.58,26.77,80.17
4,0.337343,0.000148,0.8150,100.00,6.92,4.68,4.23,31.47,83.50,84.07,0.766133,0.000496,0.6559,82.32,16.11,12.71,6.91,9.09,26.77,77.41
5,0.473259,0.000150,0.8037,100.00,9.72,7.69,4.62,17.13,58.88,83.25,0.813585,0.000486,0.6481,81.82,17.07,13.90,7.02,8.08,28.28,55.95
6,0.414527,0.000173,0.7981,100.00,8.45,5.53,5.34,18.65,69.80,85.78,0.818434,0.000521,0.6447,81.82,16.93,13.27,7.56,7.58,26.26,71.83
7,0.395078,0.000165,0.8013,100.00,8.02,4.38,6.04,22.34,73.98,88.99,0.822668,0.000514,0.6469,84.85,16.81,12.50,8.60,5.05,24.75,89.06
8,0.339985,0.000151,0.8160,100.00,7.01,4.05,4.95,29.19,83.63,86.27,0.777137,0.000483,0.6581,85.86,16.22,12.40,7.58,8.08,26.26,74.96
9,0.349775,0.000154,0.8066,100.00,7.21,4.15,5.12,29.19,82.61,85.18,0.761732,0.000470,0.6684,87.88,16.02,12.00,7.55,8.08,26.77,75.60
10,0.329380,0.000168,0.7973,100.00,6.81,4.05,4.65,32.99,84.77,84.67,0.739784,0.000484,0.6666,87.88,15.62,11.80,7.16,7.07,30.30,76.43
11,0.339564,0.000151,0.8194,100.00,7.07,3.89,5.16,28.55,83.25,84.16,0.755089,0.000464,0.6722,86.87,15.67,11.64,7.67,8.08,26.77,80.33
12,0.309074,0.000163,0.8078,100.00,6.43,3.85,4.34,34.90,89.59,87.21,0.747332,0.000509,0.6505,84.34,15.57,11.81,7.27,8.59,26.26,72.20
13,0.453281,0.000193,0.7982,100.00,9.28,6.59,5.26,16.88,61.17,85.30,0.842291,0.000529,0.6495,84.85,17.33,13.39,8.11,7.58,26.26,66.64
14,0.309970,0.000137,0.8182,100.00,6.47,4.48,3.74,38.71,85.53,83.56,0.737135,0.000470,0.6641,84.85,15.62,12.41,6.52,6.06,32.32,82.15
15,0.471185,0.000164,0.7988,100.00,9.72,7.83,4.48,18.15,59.39,83.00,0.831410,0.000500,0.6449,83.84,17.49,14.43,6.99,6.57,24.75,58.64
16,0.333919,0.000142,0.8117,100.00,6.98,5.10,3.73,36.68,81.85,82.03,0.712360,0.000456,0.6782,86.87,14.82,11.82,6.34,8.59,33.84,89.82
17,0.340293,0.000196,0.7910,100.00,6.98,4.25,4.69,31.35,82.74,85.27,0.758162,0.000542,0.6464,83.33,15.71,11.91,7.42,9.09,29.29,82.01
18,0.311295,0.000164,0.8030,100.00,6.44,3.89,4.34,38.58,87.82,84.39,0.729407,0.000494,0.6583,84.85,15.37,11.93,6.77,7.07,32.32,74.00
19,0.298582,0.000154,0.8171,100.00,6.26,4.15,3.76,41.62,87.18,84.29,0.731934,0.000492,0.6639,84.34,15.49,12.15,6.63,9.60,29.80,72.68
20,0.412872,0.000207,0.7798,100.00,8.51,3.82,7.05,15.99,71.70,87.77,0.827905,0.000565,0.6432,79.80,17.00,12.14,9.09,4.55,24.24,84.33
21,0.527769,0.000210,0.7534,99.75,10.92,9.09,4.64,15.48,49.49,84.57,0.886520,0.000557,0.6227,79.80,18.62,15.56,7.26,5.05,23.74,52.96
22,0.323666,0.000127,0.8207,100.00,6.68,4.09,4.49,35.79,86.29,85.20,0.728978,0.000452,0.6680,86.36,15.41,11.90,6.80,9.60,30.81,83.42
23,0.358905,0.000163,0.8019,100.00,7.35,3.93,5.52,27.41,79.19,87.04,0.762997,0.000481,0.6645,85.35,15.84,11.67,7.80,8.08,27.27,76.20
24,0.341149,0.000131,0.8228,100.00,7.10,4.76,4.26,34.90,77.66,82.95,0.737126,0.000453,0.6662,86.87,15.60,12.14,6.89,7.58,33.33,81.96
25,0.351197,0.000163,0.8062,100.00,7.24,4.80,4.51,30.20,78.43,80.46,0.710449,0.000468,0.6705,88.38,14.90,11.61,6.61,11.11,30.30,80.61
26,0.495341,0.000219,0.7661,100.00,10.16,7.86,5.17,14.47,53.93,83.90,0.846852,0.000574,0.6285,79.80,17.75,14.45,7.28,8.08,25.25,58.59
27,0.400974,0.000176,0.7916,100.00,8.32,6.24,4.25,27.79,69.42,82.34,0.777131,0.000500,0.6438,82.32,16.30,13.25,6.77,9.09,28.79,63.01
28,0.367559,0.000146,0.8085,100.00,7.53,4.79,4.89,24.49,78.93,85.02,0.794933,0.000497,0.6476,81.82,16.37,12.73,7.51,8.59,28.79,70.79
29,0.388727,0.000162,0.8122,100.00,7.94,3.90,6.34,19.54,75.89,86.51,0.788675,0.000495,0.6606,86.36,16.34,12.12,8.07,7.07,26.26,77.57
30,0.387021,0.000169,0.7952,100.00,7.90,4.90,5.28,22.46,75.63,86.07,0.762728,0.000487,0.6615,86.36,15.85,11.93,7.64,9.09,29.80,90.59
31,0.354623,0.000147,0.8060,100.00,7.31,4.26,5.13,25.25,82.49,84.66,0.739956,0.000458,0.6663,84.85,15.49,11.55,7.42,9.09,29.29,77.66
32,0.475157,0.000212,0.7613,100.00,9.70,7.03,5.48,18.53,61.17,85.02,0.827886,0.000555,0.6279,81.82,17.19,13.45,7.77,7.58,26.77,61.02
33,0.341240,0.000153,0.8050,100.00,7.00,3.94,5.06,30.96,83.25,84.56,0.758466,0.000488,0.6529,83.33,15.98,12.11,7.41,8.08,27.27,74.49
34,0.371985,0.000177,0.8017,100.00,7.59,4.64,5.14,26.27,78.68,87.33,0.752177,0.000515,0.6612,84.85,15.75,11.60,7.67,7.07,27.78,83.73
35,0.373730,0.000133,0.8174,100.00,7.67,4.06,5.76,26.40,75.51,80.35,0.755481,0.000436,0.6746,86.87,15.53,11.69,7.69,8.08,28.79,81.04
36,0.499027,0.000179,0.7733,100.00,10.13,7.57,5.43,14.59,56.98,83.92,0.845462,0.000528,0.6313,81.31,17.51,13.81,7.87,8.08,25.25,62.74
37,0.391262,0.000150,0.8106,100.00,7.96,4.76,5.54,20.56,75.38,87.16,0.793606,0.000500,0.6489,83.84,16.62,12.86,7.54,6.06,24.75,75.09
38,0.392778,0.000178,0.7987,100.00,7.95,4.25,6.08,22.59,75.25,86.17,0.798527,0.000525,0.6517,82.32,16.38,12.27,8.17,10.10,26.26,76.31
39,0.427827,0.000198,0.7868,100.00,8.81,4.28,7.01,11.68,68.65,89.82,0.806773,0.000526,0.6540,83.84,16.54,11.65,8.94,6.57,23.74,83.80
40,0.357266,0.000172,0.8026,100.00,7.32,4.05,5.39,27.28,82.11,87.11,0.753333,0.000501,0.6547,84.34,15.73,11.68,7.67,10.10,27.27,75.66
41,0.361629,0.000162,0.8083,100.00,7.51,5.37,4.17,31.35,77.16,79.49,0.721048,0.000464,0.6690,87.88,14.97,11.67,6.74,6.06,29.80,77.21
42,0.374719,0.000182,0.7982,100.00,7.65,4.21,5.68,21.57,79.44,88.45,0.782981,0.000510,0.6552,84.85,16.19,11.96,8.02,8.08,28.28,72.57
43,0.335123,0.000151,0.8057,100.00,6.89,4.42,4.44,37.82,81.22,82.68,0.727040,0.000473,0.6622,86.36,15.29,12.03,6.68,11.11,35.86,86.46
44,0.323245,0.000154,0.8101,100.00,6.73,4.50,4.07,34.77,83.38,80.94,0.700205,0.000461,0.6720,87.37,14.64,11.35,6.64,9.60,36.36,83.48
45,0.387674,0.000160,0.7969,100.00,7.87,5.19,5.01,23.73,75.38,84.82,0.808410,0.000503,0.6429,81.31,16.68,13.04,7.59,7.07,29.29,73.81
46,0.373836,0.000146,0.8129,100.00,7.65,5.36,4.38,28.81,76.27,82.21,0.735177,0.000475,0.6643,85.86,15.48,12.23,6.71,11.11,30.30,62.71
47,0.314723,0.000152,0.8161,100.00,6.48,4.02,4.31,37.94,86.29,84.71,0.751682,0.000493,0.6600,84.34,15.68,12.04,7.17,10.61,29.80,83.77
48,0.355993,0.000173,0.8002,100.00,7.28,4.44,4.96,29.31,81.85,85.01,0.740488,0.000498,0.6638,88.38,15.51,11.70,7.19,6.06,29.29,83.85
49,0.396778,0.000172,0.8008,100.00,8.14,3.93,6.49,18.15,73.48,87.32,0.804474,0.000506,0.6575,84.85,16.57,11.80,8.80,6.06,26.26,80.29
50,0.433258,0.000210,0.7789,100.00,8.77,4.53,6.82,17.89,69.54,88.38,0.832903,0.000541,0.6476,82.83,17.03,12.23,9.09,7.07,24.75,86.98
51,0.479239,0.000164,0.7859,100.00,9.63,6.07,6.45,9.90,58.38,88.23,0.874026,0.000517,0.6343,81.31,17.87,13.57,8.82,8.08,21.72,70.90
52,0.367852,0.000148,0.8133,100.00,7.49,4.84,4.85,26.14,77.54,87.09,0.796762,0.000490,0.6529,81.82,16.51,12.86,7.48,8.08,28.28,75.74
53,0.391580,0.000183,0.7979,100.00,8.04,4.22,6.10,19.04,75.25,87.54,0.779703,0.000514,0.6600,84.85,16.16,11.95,8.03,6.06,26.26,74.00
54,0.372893,0.000138,0.8053,100.00,7.62,5.08,4.76,27.79,74.11,82.74,0.778905,0.000455,0.6527,83.84,16.25,12.87,7.20,5.56,27.78,71.50
