Epoch,Train_MSE_Loss,Train_Box_Loss,Train_Mean_IoU,Train_Box_Hit_Rate,Train_MPE,Train_X_MAE,Train_Y_MAE,Train_PCK@5px,Train_PCK@10px,Train_Max_Error,Val_MSE_Loss,Val_Box_Loss,Val_Mean_IoU,Val_Box_Hit_Rate,Val_MPE,Val_X_MAE,Val_Y_MAE,Val_PCK@5px,Val_PCK@10px,Val_Max_Error
1,0.454281,0.000153,0.7984,100.00,7.95,4.66,5.57,21.70,75.89,85.84,0.872970,0.000466,0.6634,86.36,15.58,11.40,7.66,8.59,29.80,84.02
2,0.434420,0.000155,0.8178,100.00,7.72,4.55,5.33,24.49,77.92,84.81,0.898076,0.000493,0.6628,84.34,15.93,12.20,7.38,9.60,29.29,72.53
3,0.480345,0.000179,0.7946,100.00,8.49,4.05,6.83,15.23,70.94,88.02,0.979898,0.000545,0.6403,82.83,16.95,12.16,9.13,5.05,24.24,78.87
4,0.466197,0.000188,0.7850,100.00,8.29,5.48,5.10,19.80,71.32,86.22,0.948072,0.000545,0.6430,82.83,16.70,12.54,8.15,8.08,28.79,67.20
5,0.408180,0.000143,0.8027,100.00,7.28,4.32,5.02,26.02,80.33,86.35,0.915094,0.000462,0.6612,86.87,16.30,12.47,7.61,5.56,27.78,75.81
6,0.471935,0.000172,0.8004,100.00,8.48,6.09,4.62,22.34,67.77,82.10,0.932819,0.000518,0.6458,83.33,16.66,13.21,7.26,8.08,31.31,66.68
7,0.525708,0.000156,0.7994,100.00,9.26,6.60,5.22,18.40,61.80,86.80,0.963140,0.000493,0.6491,83.33,17.15,13.37,7.67,9.60,27.27,60.44
8,0.448613,0.000177,0.8034,100.00,7.93,5.37,4.80,25.63,72.59,80.19,0.936086,0.000521,0.6480,82.83,16.63,13.43,7.08,9.09,27.78,70.75
9,0.514903,0.000140,0.8056,100.00,9.10,6.37,5.25,19.54,61.80,88.60,0.961460,0.000481,0.6515,83.33,17.21,13.26,7.78,7.58,26.77,61.68
10,0.449045,0.000174,0.7989,100.00,7.98,5.60,4.56,24.11,72.84,84.45,0.896632,0.000497,0.6601,85.35,15.79,12.10,7.40,8.59,28.28,74.78
11,0.466412,0.000174,0.7988,100.00,8.25,4.38,6.28,18.65,71.45,85.13,0.992854,0.000539,0.6387,82.32,17.29,13.07,8.55,7.58,24.24,79.67
12,0.417882,0.000178,0.7978,100.00,7.41,4.15,5.37,27.66,79.95,85.69,0.921488,0.000509,0.6575,85.35,16.26,12.18,7.85,8.08,28.28,80.42
13,0.508438,0.000153,0.8055,100.00,8.88,4.47,7.00,13.83,67.13,89.72,0.978676,0.000491,0.6550,84.34,17.06,12.22,9.08,6.06,25.76,90.51
14,0.463011,0.000181,0.7957,100.00,8.16,4.23,6.25,18.15,74.24,87.14,0.936111,0.000543,0.6449,82.83,16.49,11.92,8.59,7.07,27.78,72.77
15,0.450370,0.000197,0.7915,100.00,8.00,3.85,6.39,22.46,73.86,88.81,0.952083,0.000553,0.6455,83.33,16.69,12.10,8.67,8.59,24.75,79.08
16,0.451271,0.000174,0.7937,100.00,7.99,5.78,4.48,24.62,73.22,83.98,0.956151,0.000531,0.6406,82.32,16.94,13.63,7.22,8.59,29.29,70.64
17,0.374348,0.000171,0.8085,100.00,6.80,4.25,4.40,32.49,84.39,86.02,0.875142,0.000497,0.6655,87.37,15.84,12.01,7.19,9.60,29.80,81.79
18,0.410359,0.000134,0.8186,100.00,7.37,4.77,4.60,31.22,78.17,81.70,0.886592,0.000453,0.6657,84.85,15.83,12.54,6.83,8.59,30.30,89.87
19,0.705309,0.000218,0.7419,99.87,11.82,8.65,7.05,5.71,35.41,90.65,1.117353,0.000596,0.6104,78.28,19.25,15.03,9.16,6.06,22.73,64.48
20,0.418745,0.000150,0.8137,100.00,7.48,4.78,4.80,25.51,78.43,87.36,0.895666,0.000497,0.6572,83.84,16.07,12.41,7.17,10.10,31.31,75.25
21,0.367442,0.000152,0.8191,100.00,6.59,4.08,4.40,35.91,86.93,87.30,0.899598,0.000487,0.6619,85.86,16.06,12.36,7.23,8.59,27.27,75.73
22,0.433395,0.000180,0.7933,100.00,7.66,4.18,5.69,25.38,75.76,85.64,0.945005,0.000525,0.6456,83.33,16.55,12.32,8.24,7.58,27.27,76.16
23,0.489096,0.000166,0.7907,100.00,8.56,5.51,5.55,19.16,68.53,86.34,0.965383,0.000516,0.6446,83.33,16.94,12.95,8.09,8.08,26.26,70.04
24,0.443445,0.000179,0.7975,100.00,7.81,4.06,6.03,22.46,76.27,88.87,0.954017,0.000500,0.6576,85.86,16.65,12.12,8.63,9.60,24.75,79.62
25,0.340795,0.000172,0.8036,100.00,6.21,4.26,3.63,41.12,89.72,84.88,0.837083,0.000489,0.6698,87.37,15.09,11.72,6.58,9.60,30.30,76.85
26,0.423673,0.000167,0.7989,100.00,7.46,4.17,5.43,25.38,78.17,81.73,0.914908,0.000489,0.6568,85.35,16.21,12.46,7.52,6.57,26.26,80.13
27,0.558028,0.000178,0.7830,100.00,9.62,5.25,7.32,10.28,58.25,88.74,1.054082,0.000537,0.6365,79.29,18.11,13.35,9.53,6.57,20.71,77.07
28,0.408718,0.000162,0.8076,100.00,7.19,4.52,4.78,28.81,80.46,85.75,0.899808,0.000515,0.6495,83.33,15.97,12.41,7.18,9.09,29.80,81.35
29,0.394999,0.000161,0.8057,100.00,6.98,4.44,4.56,32.61,83.12,82.35,0.871949,0.000462,0.6688,86.87,15.59,12.18,6.85,11.62,30.81,87.54
30,0.393613,0.000151,0.8145,100.00,6.99,4.28,4.70,28.55,84.14,84.68,0.878147,0.000472,0.6632,86.36,15.81,12.17,7.03,11.11,29.80,83.25
31,0.695024,0.000224,0.7488,99.87,11.88,8.75,6.76,5.96,39.34,89.72,1.120189,0.000590,0.6162,78.79,19.28,15.08,9.26,7.07,20.20,60.91
32,0.417074,0.000154,0.8093,100.00,7.42,3.92,5.59,24.37,79.82,86.58,0.900035,0.000478,0.6650,86.87,16.05,11.89,7.79,8.08,28.28,83.72
