Epoch,Train_MSE_Loss,Train_Box_Loss,Train_Mean_IoU,Train_Box_Hit_Rate,Train_MPE,Train_X_MAE,Train_Y_MAE,Train_PCK@5px,Train_PCK@10px,Train_Max_Error,Val_MSE_Loss,Val_Box_Loss,Val_Mean_IoU,Val_Box_Hit_Rate,Val_MPE,Val_X_MAE,Val_Y_MAE,Val_PCK@5px,Val_PCK@10px,Val_Max_Error
1,0.026246,0.002185,0.4884,53.17,37.34,31.30,14.32,3.55,9.77,295.00,0.010918,0.000960,0.5356,60.10,26.57,22.31,10.26,4.04,14.14,117.19
2,0.023615,0.002021,0.4889,53.17,36.77,30.07,15.72,2.54,9.52,232.27,0.012543,0.001148,0.5042,54.55,28.08,23.27,10.93,3.54,11.11,129.09
3,0.025310,0.002035,0.4837,51.90,37.24,30.64,15.23,2.41,10.79,278.14,0.010973,0.001015,0.5315,59.09,25.70,21.94,9.18,5.56,15.66,123.63
4,0.027765,0.002371,0.4710,49.24,39.56,32.63,16.29,2.16,7.11,241.49,0.011799,0.001086,0.5211,59.09,27.30,21.63,12.24,2.53,10.61,116.69
5,0.024400,0.002061,0.4881,51.02,37.31,31.23,14.55,2.66,9.90,328.87,0.011794,0.001047,0.5265,56.06,27.69,24.20,9.61,5.05,14.14,84.79
6,0.025855,0.002174,0.4793,51.40,37.74,31.72,14.40,2.41,10.53,244.51,0.012321,0.001160,0.5001,51.52,27.63,23.34,10.66,3.03,14.65,98.14
7,0.025387,0.002177,0.4853,52.28,35.64,28.66,15.56,3.17,11.42,276.55,0.010893,0.001117,0.5075,55.05,24.83,20.56,10.27,3.03,13.13,117.58
8,0.023649,0.001967,0.4986,55.96,35.94,29.95,14.27,2.79,11.29,243.52,0.010398,0.001001,0.5398,61.62,24.83,21.31,8.99,2.02,17.17,112.56
9,0.025781,0.002223,0.5006,56.60,36.93,30.40,14.80,2.41,9.64,272.46,0.010425,0.000966,0.5395,61.62,25.61,21.85,9.61,3.03,12.63,114.42
10,0.025097,0.002106,0.4921,53.43,35.89,29.68,14.56,2.79,11.17,301.99,0.011376,0.001060,0.5274,56.06,26.63,22.55,10.42,3.03,14.14,100.13
11,0.023031,0.001908,0.4947,53.05,36.32,28.90,16.54,2.41,10.53,241.18,0.011648,0.001123,0.5130,56.57,26.01,22.07,9.81,5.05,14.14,131.83
12,0.025575,0.002060,0.4913,54.82,36.87,30.59,14.77,2.54,11.04,306.96,0.010915,0.001060,0.5268,57.07,25.55,21.92,9.47,3.54,13.13,107.33
13,0.023821,0.001894,0.5007,56.73,36.16,30.13,14.30,2.54,11.93,246.04,0.010965,0.001111,0.5209,60.61,24.74,21.14,9.39,4.04,14.14,111.71
14,0.020433,0.001701,0.4981,52.92,34.82,29.10,13.63,2.16,9.77,207.70,0.011713,0.001115,0.5028,55.05,26.83,22.51,10.48,2.02,10.61,108.85
15,0.024309,0.002064,0.4876,53.43,36.28,29.16,16.29,1.78,10.79,227.88,0.011456,0.001169,0.5124,54.55,25.36,20.65,11.06,2.02,13.13,110.41
16,0.025128,0.002030,0.4981,56.09,37.35,31.44,14.53,2.16,9.14,319.63,0.011003,0.001056,0.5274,62.63,25.46,20.90,10.48,3.54,15.66,118.12
17,0.024866,0.002148,0.4723,50.38,38.05,30.56,17.06,1.78,8.38,243.27,0.012603,0.001200,0.4974,54.04,28.29,22.97,12.64,4.04,12.12,89.08
