Epoch,Train_MSE_Loss,Train_Box_Loss,Train_Mean_IoU,Train_Box_Hit_Rate,Train_MPE,Train_X_MAE,Train_Y_MAE,Train_PCK@5px,Train_PCK@10px,Train_Max_Error,Val_MSE_Loss,Val_Box_Loss,Val_Mean_IoU,Val_Box_Hit_Rate,Val_MPE,Val_X_MAE,Val_Y_MAE,Val_PCK@5px,Val_PCK@10px,Val_Max_Error
35,0.019106,0.004081,0.3762,32.87,51.34,43.05,19.89,1.78,5.46,283.98,0.00723,0.001576,0.4544,42.93,34.75,28.92,13.74,1.01,8.08,130.31
36,0.018922,0.003822,0.3804,34.26,53.19,44.27,21.31,1.27,5.08,289.4,0.007206,0.001632,0.4577,45.45,34.48,27.04,16.22,3.03,7.58,103.03
37,0.017164,0.003548,0.3931,37.31,51.24,41.68,21.89,1.4,4.06,253.29,0.007645,0.001565,0.4643,43.43,37.18,29.28,16.95,3.54,7.58,118.07
38,0.016211,0.003325,0.3956,37.18,49.75,41.35,20.58,1.65,5.08,276.7,0.007218,0.001629,0.4733,44.95,34.17,27.98,15.04,2.02,10.1,104.64
39,0.016885,0.003449,0.4099,39.85,48.81,41.3,18.7,2.03,7.99,322.37,0.006288,0.001398,0.4903,52.02,31.9,27.34,11.95,3.03,9.6,106.28
40,0.015849,0.003278,0.4042,38.45,49.59,41.54,19.63,1.27,4.31,216.87,0.007042,0.001303,0.4943,50.51,36.51,30.19,15.13,1.52,7.07,127.07
41,0.015818,0.003162,0.4051,37.44,49.14,40.28,20.95,1.14,4.7,286.22,0.006049,0.001237,0.5099,51.01,32.92,27.51,13.57,1.52,7.07,119.35
42,0.014664,0.003078,0.4118,39.85,47.03,39.71,18.2,1.4,5.33,236.11,0.00625,0.001342,0.4969,48.99,32.27,27.77,11.59,4.04,11.62,132.76
43,0.014084,0.002999,0.414,39.21,45.14,37.73,18.06,1.65,6.09,225.41,0.005664,0.001267,0.5199,55.05,30.21,25.71,11.65,2.53,9.6,121.73
44,0.015645,0.003156,0.4133,40.86,47.89,39.92,18.82,1.65,5.71,305.85,0.005726,0.001246,0.5087,54.04,30.98,25.54,13.0,3.54,10.1,108.46
45,0.013892,0.002833,0.4309,43.78,46.01,38.57,18.51,1.65,6.98,248.76,0.005682,0.001253,0.5178,54.55,30.99,25.92,12.6,2.53,9.6,104.77
46,0.015258,0.002957,0.4278,42.01,46.6,40.1,17.01,1.52,5.96,329.82,0.006136,0.001248,0.5104,54.04,33.3,28.07,13.03,1.52,8.08,118.51
47,0.016347,0.003355,0.4154,41.24,48.19,40.7,18.41,1.65,4.31,270.88,0.006522,0.001426,0.4924,51.01,32.93,26.67,14.14,3.03,8.59,120.14
48,0.014174,0.002964,0.418,39.47,44.75,38.09,16.77,2.54,7.11,277.61,0.005962,0.001202,0.5089,52.02,31.99,26.92,12.56,2.02,11.62,127.88
49,0.012597,0.002728,0.4273,42.39,43.17,35.63,17.83,1.9,6.35,249.73,0.005611,0.001157,0.5243,58.08,31.13,26.57,11.69,3.03,10.61,92.97
50,0.015328,0.003063,0.4212,42.26,47.42,39.38,18.83,1.14,4.82,304.43,0.005981,0.001285,0.5091,52.53,30.75,25.52,12.73,5.05,15.66,117.21
51,0.014605,0.003062,0.4192,42.13,45.59,37.95,17.84,1.9,6.47,291.58,0.005885,0.001353,0.4751,45.96,30.56,25.39,12.5,2.53,13.13,94.78
52,0.014335,0.003095,0.4254,44.54,45.66,38.12,18.1,1.02,5.08,277.81,0.005544,0.001249,0.5198,57.58,29.9,25.59,11.37,4.04,11.11,94.82
53,0.014325,0.002808,0.4317,42.26,46.69,39.08,18.78,1.27,4.7,270.2,0.00631,0.001309,0.515,52.53,32.77,27.24,13.54,2.02,10.1,140.17
54,0.013539,0.002766,0.4361,44.8,43.96,35.66,18.88,1.78,7.11,306.07,0.005756,0.001375,0.5087,54.04,28.72,24.21,11.62,2.53,14.65,134.57
55,0.013456,0.002826,0.4484,46.19,42.31,34.72,17.48,1.27,7.36,232.17,0.005708,0.001288,0.499,53.54,30.3,25.43,11.74,4.55,12.12,123.93
56,0.013751,0.002861,0.4283,43.53,44.69,36.07,19.34,1.14,5.33,248.25,0.005771,0.001377,0.4869,48.48,29.79,24.16,13.02,4.04,10.61,117.05
