Epoch,Train_MSE_Loss,Train_Box_Loss,Train_Mean_IoU,Train_Box_Hit_Rate,Train_MPE,Train_X_MAE,Train_Y_MAE,Train_PCK@5px,Train_PCK@10px,Train_Max_Error,Val_MSE_Loss,Val_Box_Loss,Val_Mean_IoU,Val_Box_Hit_Rate,Val_MPE,Val_X_MAE,Val_Y_MAE,Val_PCK@5px,Val_PCK@10px,Val_Max_Error
1,1.470472,0.001513,0.4354,39.97,39.07,34.23,13.31,1.52,5.46,139.47,1.559799,0.001841,0.4062,35.35,42.08,37.18,14.14,1.01,6.06,121.05
2,1.267241,0.001324,0.4830,48.86,33.23,25.97,15.41,1.52,7.36,157.22,1.425004,0.001709,0.4267,36.87,37.42,30.25,16.14,3.03,7.07,108.63
3,1.120262,0.001144,0.5126,53.43,29.66,23.84,12.74,2.54,9.26,148.62,1.332181,0.001570,0.4533,42.93,35.57,29.50,14.19,1.52,9.60,112.73
4,1.038991,0.000987,0.5373,59.01,27.50,22.20,11.76,3.05,12.31,137.63,1.245110,0.001423,0.4659,45.45,33.29,27.93,12.92,4.55,10.61,97.14
5,0.976802,0.000974,0.5490,61.29,25.91,21.27,10.60,4.44,12.82,110.74,1.182100,0.001438,0.4734,49.49,31.61,26.73,11.88,2.53,9.09,99.36
6,1.049676,0.000938,0.5432,61.04,27.36,20.47,13.93,2.92,9.26,121.48,1.299975,0.001451,0.4672,50.00,34.37,27.50,14.87,4.04,11.11,99.65
7,0.955616,0.000849,0.5672,67.39,24.53,18.62,11.98,4.19,12.69,113.97,1.211257,0.001409,0.4736,47.47,31.85,25.58,13.94,4.04,10.10,114.99
8,0.894321,0.000753,0.5891,71.83,23.23,17.13,12.16,3.93,15.61,113.04,1.130582,0.001268,0.5035,56.06,30.06,23.71,13.22,3.03,9.09,123.51
9,0.859952,0.000668,0.6073,76.14,22.47,17.47,10.62,5.46,15.86,109.20,1.056025,0.001166,0.5174,57.07,27.97,22.49,12.04,2.53,9.60,131.57
10,0.781821,0.000699,0.6041,75.76,20.71,15.83,9.95,5.08,19.29,110.52,1.068236,0.001249,0.4966,52.53,28.24,23.06,11.59,2.53,10.10,127.19
11,0.856144,0.000634,0.6264,82.23,21.95,15.56,12.27,4.70,15.74,115.31,1.055267,0.001153,0.5174,58.08,28.27,21.90,12.77,3.03,12.12,115.61
12,0.820254,0.000727,0.6076,77.03,21.21,16.09,10.59,4.31,16.75,105.80,1.083394,0.001288,0.4952,50.00,28.94,23.66,11.90,2.53,11.11,94.17
13,0.744781,0.000551,0.6438,83.63,19.37,14.59,9.89,5.96,20.30,100.13,0.982804,0.001065,0.5287,58.59,26.26,21.28,10.95,4.55,14.65,128.07
14,0.787595,0.000603,0.6311,82.36,20.41,14.21,11.56,5.58,17.01,111.25,1.068748,0.001110,0.5223,56.06,28.31,21.91,13.07,1.52,8.08,97.84
15,0.698919,0.000560,0.6459,86.17,18.22,14.02,8.82,5.84,23.35,104.20,0.980046,0.001094,0.5316,56.57,26.00,21.02,11.08,3.03,11.11,121.22
16,0.735262,0.000559,0.6507,87.56,18.83,13.40,10.59,5.08,20.05,112.14,1.035500,0.001103,0.5340,58.59,27.23,21.30,12.44,0.51,8.59,101.85
17,0.761725,0.000501,0.6513,87.06,19.98,15.80,9.08,6.47,21.70,112.04,1.005979,0.001050,0.5260,54.55,27.16,22.67,10.52,3.03,10.61,82.51
18,0.636630,0.000493,0.6742,92.64,16.61,11.56,9.53,7.61,26.52,113.09,0.948132,0.000981,0.5569,64.14,24.99,19.70,11.26,2.53,11.62,105.07
19,0.678783,0.000551,0.6544,88.20,17.58,11.57,10.91,6.35,21.95,113.08,0.998668,0.001060,0.5364,61.62,26.27,20.26,12.25,4.04,11.62,106.91
20,0.714708,0.000477,0.6707,91.88,18.41,12.69,10.70,5.46,21.95,110.91,0.999882,0.000992,0.5478,64.14,26.56,20.63,12.17,2.53,9.60,112.69
21,0.611191,0.000485,0.6773,93.15,16.21,12.26,8.05,7.36,27.79,107.91,0.886549,0.000995,0.5586,66.16,23.61,18.97,10.17,5.56,14.65,106.81
22,0.664128,0.000428,0.6849,94.80,17.08,11.28,10.56,5.96,21.32,113.99,0.958835,0.000977,0.5522,64.14,24.94,18.81,12.28,1.01,10.61,113.12
23,0.661059,0.000394,0.6961,95.30,17.18,11.67,10.15,5.84,21.57,107.76,0.949821,0.000874,0.5694,67.17,25.20,19.21,12.22,5.05,15.15,95.46
24,0.622699,0.000455,0.6601,87.69,16.43,12.98,7.62,7.99,28.17,105.74,0.928265,0.000967,0.5382,57.07,24.88,20.25,10.35,4.04,13.13,101.84
25,0.723709,0.000442,0.6816,95.30,18.49,11.98,11.72,4.57,18.40,109.75,0.992821,0.000985,0.5526,64.14,25.99,19.11,13.26,2.53,9.60,118.40
26,0.587531,0.000414,0.6897,95.56,15.37,10.77,8.65,7.61,29.57,105.30,0.902327,0.000921,0.5654,65.66,23.88,18.70,10.71,4.04,13.64,127.05
27,0.589791,0.000391,0.6875,92.77,15.38,10.62,8.92,7.87,28.43,100.85,0.924325,0.000940,0.5572,65.15,24.27,18.70,11.62,5.05,15.15,109.42
28,0.553443,0.000407,0.6987,96.07,14.52,10.05,8.29,9.77,31.09,110.09,0.923035,0.000919,0.5649,66.16,24.35,19.11,10.95,2.53,11.62,104.47
29,0.591026,0.000431,0.6810,93.02,15.51,11.76,7.70,7.99,29.57,103.00,0.875386,0.000963,0.5585,62.63,23.18,18.35,10.02,4.04,13.13,113.85
30,0.547630,0.000412,0.7056,95.69,14.32,9.24,8.86,9.90,33.38,106.33,0.868138,0.000921,0.5743,68.18,22.99,17.66,10.62,5.56,14.65,105.60
31,0.560862,0.000488,0.6877,95.81,14.73,10.09,8.56,7.61,32.49,103.78,0.874574,0.001016,0.5583,65.15,23.33,17.96,10.69,3.03,14.65,87.70
32,0.527084,0.000392,0.7034,96.83,13.73,9.05,8.38,10.41,34.14,102.56,0.858564,0.000844,0.5821,71.72,22.77,17.67,10.42,3.03,10.61,106.25
33,0.521672,0.000391,0.7024,96.70,13.72,9.28,8.16,9.64,34.26,104.38,0.867066,0.000903,0.5632,66.16,22.97,17.45,10.76,4.55,12.12,91.52
34,0.597060,0.000360,0.7098,97.46,15.42,9.78,9.95,6.73,27.16,103.71,0.893964,0.000861,0.5784,71.72,23.46,17.29,11.74,0.51,12.63,120.82
35,0.649801,0.000413,0.6928,95.94,16.75,10.21,11.25,4.44,20.56,100.70,0.949899,0.000908,0.5729,68.69,24.65,17.68,13.01,3.54,15.15,101.68
36,0.628603,0.000486,0.6803,95.18,16.02,10.03,10.50,6.85,25.89,108.91,0.943451,0.000981,0.5569,64.14,24.34,18.06,12.46,2.53,11.11,97.07
37,0.504724,0.000346,0.7247,98.48,13.16,8.47,8.33,9.14,36.42,106.23,0.831362,0.000809,0.5927,73.23,21.95,16.55,10.47,5.05,14.65,122.76
38,0.504900,0.000365,0.7130,96.95,13.28,9.33,7.40,9.01,37.18,104.53,0.812755,0.000843,0.5891,71.72,21.63,16.53,9.91,7.58,16.67,117.08
