epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,1861.32,0.80072,0.00868,0.04064,0.44067,0.98854,0.9992,1,0.995,0.79348,0.9992,1,0.995,0.99249,0.80635,0.01331,0.00052,0.37511,0.9266,0.0016304,0.0016304,0.0016304
30,1919.6,0.77469,0.00956,0.03891,0.43355,0.97905,0.99902,1,0.995,0.82132,0.99902,1,0.995,0.99004,0.76822,0.01252,0.00054,0.37524,0.9168,0.0016172,0.0016172,0.0016172
31,1975.12,0.78897,0.01041,0.05481,0.43075,0.99208,0.99936,1,0.995,0.8577,0.99936,1,0.995,0.99265,0.66047,0.01533,0.00069,0.3352,0.88089,0.001604,0.001604,0.001604
32,2030.16,0.77542,0.01092,0.03692,0.44584,0.98777,0.99938,1,0.995,0.85336,0.99938,1,0.995,0.98982,0.66274,0.01291,0.00077,0.33393,0.87397,0.0015908,0.0015908,0.0015908
33,2085.53,0.75061,0.00928,0.04256,0.41827,0.967,0.99907,1,0.995,0.84191,0.99907,1,0.995,0.99315,0.65285,0.01383,0.00031,0.33196,0.87273,0.0015776,0.0015776,0.0015776
34,2140.85,0.76206,0.00777,0.03468,0.43179,0.98859,0.99929,1,0.995,0.8197,0.99929,1,0.995,0.99211,0.79622,0.01357,0.00067,0.35457,0.91701,0.0015644,0.0015644,0.0015644
35,2198.85,0.75663,0.00838,0.0295,0.41471,0.97322,0.99933,1,0.995,0.84315,0.99933,1,0.995,0.99226,0.69968,0.01649,0.0007,0.31352,0.88654,0.0015512,0.0015512,0.0015512
36,2258.39,0.76464,0.00758,0.03747,0.4051,0.96842,0.99939,1,0.995,0.86488,0.99939,1,0.995,0.9933,0.71088,0.01634,0.00797,0.32919,0.89574,0.001538,0.001538,0.001538
37,2314.07,0.75589,0.00961,0.03086,0.40964,0.96155,0.99935,1,0.995,0.83551,0.99935,1,0.995,0.99254,0.73169,0.01359,0.00033,0.33956,0.89512,0.0015248,0.0015248,0.0015248
38,2368.85,0.71176,0.00827,0.03934,0.3887,0.95189,0.99925,1,0.995,0.84817,0.99925,1,0.995,0.99315,0.73758,0.01528,0.00031,0.32213,0.90405,0.0015116,0.0015116,0.0015116
39,2424.51,0.75449,0.01266,0.0467,0.39778,0.9718,0.99936,1,0.995,0.8573,0.99936,1,0.995,0.99341,0.65181,0.01256,0.00049,0.32132,0.87637,0.0014984,0.0014984,0.0014984
40,2484.52,0.77261,0.00884,0.04678,0.41223,0.97967,0.99939,1,0.995,0.86919,0.99939,1,0.995,0.99337,0.64949,0.01907,0.00049,0.31351,0.87928,0.0014852,0.0014852,0.0014852
41,2552.63,0.73654,0.00859,0.04133,0.40077,0.96144,0.99922,1,0.995,0.84676,0.99922,1,0.995,0.9924,0.66163,0.01343,0.00053,0.31691,0.8768,0.001472,0.001472,0.001472
42,2621.49,0.7408,0.00694,0.03426,0.40426,0.95761,0.99907,1,0.995,0.85361,0.99907,1,0.995,0.99187,0.64098,0.01554,0.00413,0.32971,0.873,0.0014588,0.0014588,0.0014588
43,2691.05,0.72297,0.00813,0.04353,0.39629,0.95121,0.9994,1,0.995,0.82949,0.9994,1,0.995,0.99292,0.74114,0.01183,0.00031,0.32692,0.90023,0.0014456,0.0014456,0.0014456
44,2759.76,0.71086,0.00775,0.02533,0.39294,0.95676,0.99941,1,0.995,0.86598,0.99941,1,0.995,0.99371,0.65888,0.01323,0.00012,0.30735,0.87836,0.0014324,0.0014324,0.0014324
45,2829.12,0.73161,0.00789,0.03978,0.40453,0.95621,0.99935,1,0.995,0.81232,0.99935,1,0.995,0.99293,0.76481,0.01362,0.00018,0.32463,0.90898,0.0014192,0.0014192,0.0014192
46,2897.33,0.73106,0.00772,0.02709,0.39765,0.9658,0.99905,1,0.995,0.84513,0.99905,1,0.995,0.99343,0.68332,0.01315,0.00048,0.30371,0.88135,0.001406,0.001406,0.001406
47,2965.6,0.69302,0.00688,0.02845,0.3735,0.93371,0.99936,1,0.995,0.83826,0.99936,1,0.995,0.99403,0.73598,0.01278,0.00034,0.32642,0.89611,0.0013928,0.0013928,0.0013928
48,3034.4,0.74328,0.00717,0.02757,0.38502,0.95586,0.99934,1,0.995,0.84338,0.99934,1,0.995,0.99333,0.72547,0.01351,0.0003,0.31679,0.89333,0.0013796,0.0013796,0.0013796
49,3103.32,0.74415,0.00769,0.03917,0.38001,0.9494,0.99935,1,0.995,0.81529,0.99935,1,0.995,0.99346,0.82191,0.0133,0.0006,0.32353,0.91808,0.0013664,0.0013664,0.0013664
50,3171.91,0.69946,0.00822,0.02841,0.37562,0.94657,0.99934,1,0.995,0.8526,0.99934,1,0.995,0.99267,0.66562,0.01489,0.0007,0.29471,0.87069,0.0013532,0.0013532,0.0013532
51,3239.9,0.71529,0.00631,0.04312,0.37616,0.95228,0.99937,1,0.995,0.85451,0.99937,1,0.995,0.99446,0.65183,0.01312,0.00022,0.27948,0.87714,0.00134,0.00134,0.00134
52,3308.24,0.72034,0.00906,0.04607,0.39311,0.95564,0.99846,1,0.995,0.8468,0.99846,1,0.995,0.99208,0.6446,0.01583,0.00018,0.31282,0.86871,0.0013268,0.0013268,0.0013268
53,3376.55,0.71162,0.00581,0.03162,0.37164,0.95322,0.99782,1,0.995,0.84119,0.99782,1,0.995,0.99297,0.67712,0.01387,0.00021,0.29459,0.88589,0.0013136,0.0013136,0.0013136
54,3444.82,0.69124,0.00541,0.02557,0.36555,0.94381,0.99858,1,0.995,0.83546,0.99858,1,0.995,0.99307,0.75187,0.01192,0.00023,0.31098,0.91096,0.0013004,0.0013004,0.0013004
55,3513.16,0.70109,0.00603,0.03664,0.3668,0.95003,0.99922,1,0.995,0.85669,0.99922,1,0.995,0.9916,0.64265,0.01294,0.00012,0.33473,0.87495,0.0012872,0.0012872,0.0012872
56,3581.59,0.69884,0.00904,0.04398,0.37571,0.93496,0.99938,1,0.995,0.85411,0.99938,1,0.995,0.991,0.62728,0.0127,0.00013,0.30418,0.87095,0.001274,0.001274,0.001274
57,3650.2,0.69959,0.00927,0.03547,0.37467,0.95258,0.99938,1,0.995,0.85388,0.99938,1,0.995,0.99164,0.64435,0.01323,0.0003,0.28705,0.86702,0.0012608,0.0012608,0.0012608
