epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,557.631,1.30465,0.14485,0.49562,2.98371,1.54557,1,0.9996,0.995,0.80237,1,0.9996,0.995,0.995,0.79892,0.08142,0.09742,0.58648,0.99266,0.07624,0.00024,0.00024
2,925.254,0.77095,0.03985,0.12281,0.4607,0.99851,0.02612,0.57576,0.02173,0.01687,0.04585,0.56061,0.05576,0.02877,0.97773,0.08887,0.03114,63.444,1.12044,0.0514899,0.00048988,0.00048988
3,1289.29,0.75585,0.02806,0.09633,0.45485,1.00481,0.44446,0.13636,0.1326,0.09975,0.48808,0.17677,0.26729,0.2499,2.468,0.05333,0.01598,5.78394,2.48646,0.0267393,0.000739277,0.000739277
4,1752.46,0.72808,0.02156,0.07706,0.42937,0.9945,0.9506,0.77754,0.83788,0.35159,0.9506,0.77754,0.8399,0.83976,1.81997,0.09063,0.00118,2.89768,1.42693,0.00198783,0.000987825,0.000987825
5,2111.06,0.717,0.01897,0.06591,0.42834,0.97617,0.99727,1,0.995,0.798,0.99727,1,0.995,0.995,0.79407,0.02103,0.00031,3.87343,0.97539,0.000996097,0.000996097,0.000996097
6,2561.72,0.72274,0.0167,0.05281,0.42274,0.97505,0.99796,1,0.995,0.81932,0.99796,1,0.995,0.995,0.75511,0.02225,0.00014,0.83647,0.95568,0.000993906,0.000993906,0.000993906
7,2921.97,0.73871,0.01558,0.05433,0.41565,0.98132,0.86625,0.68694,0.78537,0.61591,0.86625,0.68694,0.79513,0.79489,0.84705,0.05541,0.00035,1.43867,0.97515,0.000991232,0.000991232,0.000991232
8,3376.74,0.72416,0.01596,0.08106,0.41882,0.99019,0.84636,0.5101,0.6169,0.46299,0.84636,0.5101,0.62621,0.62256,1.26714,0.16162,0.00576,1.67483,1.30624,0.000988079,0.000988079,0.000988079
9,3828.97,0.70561,0.01366,0.04155,0.40682,0.97218,0.76544,0.96465,0.83322,0.66968,0.76945,0.9697,0.83992,0.83864,0.7736,0.04497,0.00013,6.04859,0.96451,0.000984449,0.000984449,0.000984449
10,4335.04,0.71073,0.01704,0.05167,0.39178,0.97386,0.01303,0.0101,0.00602,0.00068,0.14699,0.28788,0.13378,0.09143,4.7096,0.18503,0.04276,4.72342,4.68262,0.000980345,0.000980345,0.000980345
