epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,570.039,1.45458,0.11555,0.4484,2.66589,1.63673,0.9963,0.9697,0.99412,0.78815,0.9963,0.9697,0.99412,0.99237,0.82003,0.1159,0.105,0.49697,0.99518,0.07327,0.00027,0.00027
2,996.888,0.93435,0.03792,0.12403,0.49186,1.05437,0.00325,0.07071,0.00167,0.00018,0.01493,0.36364,0.01028,0.00624,4.32379,2.70068,0.14623,inf,19.4347,0.0455499,0.000549866,0.000549866
3,1425.36,0.88346,0.02551,0.08691,0.46475,1.02116,0.00079,0.19192,0.00049,6e-05,0.00188,0.42424,0.00139,0.00077,4.40231,8.8892,0.01718,inf,55.7788,0.0178292,0.000829189,0.000829189
4,1809.02,0.89873,0.02072,0.0736,0.47912,1.0431,0,0,0,0,0.33333,0.06061,0.18208,0.06691,4.31451,0.86122,0.38677,8.01065,2.74446,0.000997803,0.000997803,0.000997803
5,2187.24,0.90212,0.0172,0.0661,0.46103,1.03786,1,0.17054,0.19154,0.16319,1,0.17054,0.19519,0.19335,1.78668,0.39865,0.33188,4.20468,1.37089,0.000996097,0.000996097,0.000996097
6,2562.54,0.84998,0.0158,0.06523,0.43198,1.00315,0.99694,1,0.995,0.81785,0.99694,1,0.995,0.99061,0.74916,0.03913,9e-05,0.67806,0.91876,0.000993906,0.000993906,0.000993906
7,3029.45,0.8493,0.01782,0.06636,0.43941,1.0133,0.00112,0.06061,0.00068,0.00014,0.01835,0.9899,0.074,0.03745,2.49986,0.31912,0.00736,8.67168,1.88874,0.000991232,0.000991232,0.000991232
8,3554.34,0.81714,0.01597,0.05474,0.42741,0.9912,0.9456,0.87784,0.9545,0.6782,0.9456,0.87784,0.95765,0.95285,1.00414,0.04575,0.02536,0.58329,1.0465,0.000988079,0.000988079,0.000988079
9,4034.7,0.83419,0.0167,0.0516,0.4316,1.01064,0.97483,0.66667,0.79288,0.62131,0.97483,0.66667,0.8015,0.79868,0.89849,0.05389,0.01426,0.996,1.00677,0.000984449,0.000984449,0.000984449
10,4446.22,0.78896,0.01269,0.05662,0.40083,0.99383,0.99675,1,0.995,0.82319,0.99675,1,0.995,0.99232,0.67105,0.02837,0.00011,0.37795,0.89233,0.000980345,0.000980345,0.000980345
11,4868.38,0.79853,0.01188,0.06404,0.40656,0.9837,0.99878,1,0.995,0.82703,0.99878,1,0.995,0.99014,0.68415,0.01608,0.00012,0.32209,0.89742,0.000975773,0.000975773,0.000975773
12,5307.82,0.77318,0.01016,0.07395,0.39856,0.97077,0.99856,1,0.995,0.82292,0.99856,1,0.995,0.99197,0.72981,0.01382,0.00178,0.33084,0.91566,0.000970736,0.000970736,0.000970736
13,5794.9,0.79527,0.00983,0.05584,0.41235,0.99098,0.99763,1,0.995,0.84148,0.99763,1,0.995,0.99183,0.65613,0.01945,0.00059,0.31765,0.8821,0.000965239,0.000965239,0.000965239
14,6199.81,0.80678,0.01176,0.04112,0.41274,0.98987,0.99907,1,0.995,0.86133,0.99907,1,0.995,0.99169,0.62073,0.01318,0.00018,0.29204,0.87796,0.000959289,0.000959289,0.000959289
15,6665.01,0.81407,0.00984,0.05408,0.41009,0.98931,0.99162,1,0.995,0.82642,0.99162,1,0.995,0.99273,0.68155,0.01668,0.0002,0.33017,0.89676,0.000952889,0.000952889,0.000952889
16,7094.66,0.80595,0.0109,0.04985,0.40508,0.98554,0.99894,1,0.995,0.81502,0.99894,1,0.995,0.99253,0.68833,0.01482,0.00091,0.37104,0.89275,0.000946048,0.000946048,0.000946048
17,7507.5,0.76159,0.00975,0.05403,0.38772,0.97072,0.99934,1,0.995,0.82077,0.99934,1,0.995,0.9899,0.68235,0.01773,0.00018,0.29773,0.89296,0.000938772,0.000938772,0.000938772
