Epoch,Train_MSE_Loss,Train_Box_Loss,Train_Mean_IoU,Train_Box_Hit_Rate,Train_MPE,Train_X_MAE,Train_Y_MAE,Train_PCK@5px,Train_PCK@10px,Train_Max_Error,Val_MSE_Loss,Val_Box_Loss,Val_Mean_IoU,Val_Box_Hit_Rate,Val_MPE,Val_X_MAE,Val_Y_MAE,Val_PCK@5px,Val_PCK@10px,Val_Max_Error
1,3537.911331,0.504566,0.5529,67.89,27.46,16.92,18.44,2.21,9.68,123.79,5004.237661,0.710629,0.3836,27.08,47.90,36.95,23.53,0.52,2.60,201.98
2,3451.133406,0.492314,0.5653,74.88,25.44,14.94,17.24,3.31,11.15,137.67,4862.898204,0.690617,0.4006,30.73,45.95,36.08,22.24,1.04,3.65,231.02
3,3559.896176,0.507674,0.5586,74.39,27.45,17.49,17.73,2.21,9.56,123.16,5009.645538,0.711465,0.3880,29.17,47.74,36.77,23.47,0.52,2.60,206.86
4,3613.411288,0.515614,0.5542,72.79,25.89,13.70,19.16,2.82,10.42,127.42,4995.926503,0.709883,0.3975,28.65,46.14,34.79,24.32,0.52,3.12,220.67
5,3441.229913,0.490989,0.5682,77.57,26.47,14.16,19.40,1.96,10.17,111.61,4932.552439,0.700917,0.3930,29.69,45.67,34.04,24.29,2.08,4.17,229.25
6,3669.491019,0.523511,0.5457,68.75,26.17,15.28,17.77,2.21,10.17,119.16,4992.667684,0.709512,0.3972,27.08,44.77,33.98,23.16,1.56,4.69,220.07
7,3553.345136,0.506918,0.5730,80.88,25.44,15.50,16.84,2.82,10.17,113.62,5042.756114,0.716743,0.4040,29.69,44.37,34.16,22.17,0.52,2.60,232.00
8,3429.352987,0.489120,0.5644,75.00,26.30,16.43,17.14,3.43,10.54,119.45,4722.682007,0.670886,0.4055,29.69,45.11,34.58,22.43,0.52,3.65,216.53
9,3534.485464,0.504353,0.5650,76.47,25.56,13.90,18.75,2.57,10.66,118.02,4928.226115,0.700297,0.3988,28.12,45.55,34.39,23.65,2.08,4.17,203.78
10,3256.274280,0.464570,0.5885,83.21,24.72,14.59,16.99,2.70,11.15,103.52,4732.155009,0.672381,0.4058,31.77,44.55,33.89,22.73,1.04,3.12,211.42
11,3471.157789,0.495208,0.5680,78.06,25.59,15.11,17.75,3.80,11.64,103.11,4863.706736,0.691064,0.4010,31.77,45.53,34.57,23.52,0.00,4.17,214.75
12,3096.459564,0.441578,0.5987,84.93,24.48,16.45,14.49,2.82,11.52,103.76,4534.757019,0.644118,0.4197,34.38,42.97,33.40,19.49,1.56,8.85,228.34
13,3414.104344,0.487126,0.5845,84.93,26.03,14.40,18.90,2.33,10.17,99.32,4882.929464,0.693778,0.4100,33.85,45.97,34.98,23.64,1.04,4.69,209.98
14,3150.973080,0.449530,0.5971,84.68,25.59,14.25,18.19,2.57,10.66,104.94,4528.227356,0.643405,0.4230,35.94,44.41,33.32,23.51,0.52,3.12,217.80
15,3383.632961,0.482820,0.5752,80.39,24.14,13.80,16.98,3.92,12.62,96.29,4762.472473,0.676799,0.4130,32.81,43.67,33.43,21.94,0.52,3.12,215.73
16,3484.661552,0.497211,0.5642,75.74,25.04,14.32,17.55,2.33,12.01,98.92,4764.156067,0.677013,0.4121,33.85,43.90,33.12,22.40,0.00,6.25,234.36
17,3671.686047,0.523907,0.5575,74.63,23.84,14.29,15.97,2.94,12.99,99.56,4922.598775,0.699835,0.4126,32.29,42.19,32.57,20.80,0.00,6.77,216.43
18,3407.606182,0.486231,0.5759,81.99,24.47,13.95,17.33,3.06,12.87,101.67,4788.514709,0.680627,0.4106,32.81,43.37,32.64,21.82,0.52,5.73,209.26
19,3397.207079,0.484771,0.5793,82.23,25.92,13.48,19.31,2.94,10.78,104.45,4729.865774,0.672215,0.4186,36.46,44.71,32.80,24.34,0.52,4.17,220.51
20,3655.328881,0.521513,0.5388,68.50,28.80,15.46,21.46,2.70,7.97,107.05,5005.180186,0.711669,0.3847,26.56,45.71,32.59,26.02,0.52,3.12,202.72
21,3465.883227,0.494263,0.5518,70.71,29.45,17.75,19.90,1.59,5.76,109.44,4606.657338,0.654359,0.4151,34.38,46.06,34.67,24.45,0.52,3.65,224.06
22,3622.666530,0.516959,0.5632,78.31,24.97,13.96,18.00,2.94,10.66,101.18,4921.911296,0.699753,0.4125,33.33,43.87,32.65,23.09,1.56,3.65,189.96
23,3250.142075,0.463697,0.5909,84.56,23.32,14.43,15.38,4.04,14.71,97.66,4612.941071,0.655482,0.4225,35.42,42.52,33.02,20.26,1.04,4.17,206.57
