Epoch,Train_MSE_Loss,Train_Box_Loss,Train_Mean_IoU,Train_Box_Hit_Rate,Train_MPE,Train_X_MAE,Train_Y_MAE,Train_PCK@5px,Train_PCK@10px,Train_Max_Error,Val_MSE_Loss,Val_Box_Loss,Val_Mean_IoU,Val_Box_Hit_Rate,Val_MPE,Val_X_MAE,Val_Y_MAE,Val_PCK@5px,Val_PCK@10px,Val_Max_Error
1,2466.129178,0.487070,0.5773,80.51,28.31,17.74,18.62,2.08,8.70,104.01,3551.476766,0.684620,0.4069,30.73,45.80,34.61,23.29,0.00,2.60,202.31
2,2548.318103,0.505886,0.5728,81.74,23.80,13.59,16.69,3.55,12.50,102.58,3663.158834,0.708363,0.4029,29.17,43.46,32.70,21.75,1.04,2.60,205.92
3,2375.194624,0.469980,0.5902,83.82,24.72,15.88,15.45,2.70,11.64,90.57,3462.280060,0.669092,0.4241,37.50,41.71,32.23,20.59,1.04,6.77,223.18
4,2422.375354,0.480048,0.5776,81.99,24.86,14.74,16.92,2.70,10.91,103.60,3519.781331,0.679734,0.4084,34.38,43.14,32.78,21.89,0.00,4.69,210.21
5,2591.207427,0.514626,0.5662,78.31,23.11,13.44,16.15,3.55,13.36,101.96,3687.968974,0.713727,0.4003,33.85,42.71,32.71,21.41,0.52,3.65,197.22
6,2524.013893,0.501059,0.5618,76.35,24.57,13.70,17.68,1.59,10.66,107.72,3616.548818,0.699530,0.3962,31.25,43.24,32.45,22.30,1.56,4.17,198.56
7,2393.062489,0.474361,0.5850,82.84,25.72,14.80,18.09,3.43,10.05,102.33,3458.984924,0.668016,0.4157,35.94,43.95,32.64,22.96,0.52,4.17,206.04
8,2486.473691,0.493002,0.5694,77.33,26.05,14.79,18.56,2.33,9.19,101.17,3547.283051,0.685354,0.4039,31.77,44.14,32.47,23.37,1.04,5.73,210.79
9,2358.368233,0.467413,0.5970,86.03,23.42,14.45,15.27,3.43,11.89,95.23,3392.640676,0.654223,0.4305,40.62,42.38,33.11,20.00,0.52,6.25,204.30
10,2412.492555,0.477299,0.5849,84.31,25.46,15.97,16.25,3.43,11.52,99.68,3436.364695,0.663604,0.4213,36.46,42.37,32.39,21.23,2.08,4.69,213.15
11,2522.744437,0.499325,0.5660,77.70,27.47,16.29,18.67,1.35,8.82,104.57,3517.718994,0.679332,0.4183,35.94,44.04,32.51,23.40,0.52,4.69,214.64
12,2537.056892,0.501389,0.5545,70.59,27.38,17.42,17.34,3.19,8.95,100.67,3526.560649,0.679682,0.4060,32.81,44.54,33.82,22.85,1.56,5.21,222.87
13,2332.249905,0.462275,0.6021,88.85,24.24,14.26,16.53,3.31,11.52,94.93,3420.493032,0.660577,0.4262,38.54,42.56,32.09,21.85,0.52,3.65,211.40
14,2541.324097,0.504177,0.5671,79.29,24.30,14.34,16.45,2.57,11.27,94.76,3610.631805,0.699561,0.4069,31.77,41.88,31.30,21.78,0.52,6.25,219.25
15,2349.791772,0.465949,0.5788,80.88,25.91,14.16,18.90,3.55,9.68,102.06,3452.966451,0.666818,0.4095,34.38,44.16,32.32,23.60,1.56,5.21,203.70
16,2513.819424,0.498970,0.5606,75.74,24.62,13.84,17.65,2.21,11.52,100.61,3608.661377,0.697708,0.3918,27.08,43.98,33.10,22.65,0.00,4.69,192.51
